huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus
148,3881SL,273200000004434,273010000004434,False,industriefunctie,7567,in gebruik
28,9672AD,1895200000005093,1895010000010289,False,industriefunctie,396,in gebruik
75,9281LC,59200000870523,59010000870524,False,woonfunctie,40,ingetrokken
11,1705JC,398200000003132,398010000001790,False,woonfunctie,180,in gebruik
28,9982AX,1651200000028182,1651010000018218,False,woonfunctie,192,in gebruik
29,9672BN,1895200000022911,1895010000022885,False,kantoorfunctie,1802,in gebruik (niet ingemeten)
23,9723JC,14200010890107,14010011080840,False,industriefunctie,148,in gebruik
32,9321HB,1699200000007629,1699010000013367,False,woonfunctie,843,in gebruik
5,9742LA,14200010791703,14010010989044,False,woonfunctie,52,in gebruik
22,2585GJ,518200000371804,518010000371805,False,woonfunctie,447,in gebruik
4,9672BA,1895200000002468,1895010000007668,False,industriefunctie,6754,in gebruik
49,2533SG,518200000715260,518010000715261,False,woonfunctie,143,in gebruik
58,9665MR,765200000004398,765010000004397,False,woonfunctie,284,in gebruik
20,9672BN,1895200000022243,1895010000022236,False,kantoorfunctie,195,in gebruik
109,9628CD,40200000017608,40010000005978,False,winkelfunctie,276,in gebruik
5,9934AR,10200000102921,10010000052674,False,industriefunctie,6411,in gebruik
18,9672AR,1895200000006398,1895010000016409,False,industriefunctie,698,in gebruik
14,9936GZ,10200000115274,10010000064828,False,woonfunctie,80,in gebruik
4,9934GD,10200000100868,10010000050368,False,onderwijsfunctie,1424,in gebruik (niet ingemeten)
15,9561ZA,48200000002359,48010000002226,False,woonfunctie,225,in gebruik
105,9648KK,47200000301513,47010000301514,False,woonfunctie,430,in gebruik
96,9641JT,47200000309170,47010000309169,False,woonfunctie,126,in gebruik
36,9712LG,14200022203941,14010022203079,False,woonfunctie,147,in gebruik
22,9649AJ,1987200000005469,1987010000005455,False,woonfunctie,108,in gebruik
84,9636BT,1987200000001476,1987010000001462,False,woonfunctie,167,in gebruik
9,9979XK,1651200000025022,1651010000015016,False,kantoorfunctie,716,in gebruik
21,6827BJ,202200000400455,202010000400456,False,winkelfunctie,513,in gebruik
12,2952EH,482200001272500,482010001263633,False,woonfunctie,215,in gebruik
63,7903AS,118200000258918,118010000077864,False,industriefunctie,928,in gebruik
27,7825VL,114200000279830,114010000279831,False,winkelfunctie,163,in gebruik
