huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek
7,5993SL,1894200000340154,1894010000340153,False
5,4751XK,1655200000541055,1655010000541056,False
14,9761TK,1730200000013413,1730010000004281,False
6,9207HE,0086200000386091,0086010000386092,False
5,7901TG,0118200000245993,0118010000078061,False
52,7963BZ,1690200000001273,1690010000001273,False
1019,7905SB,0118200000244580,0118010090000732,False
2,7761RA,0114200000355965,0114010000355966,False
20,7814XL,0114200000368460,0114010000368461,False
25,7958RS,1690200000007240,1690010000007240,False
12,7812HZ,0114200000314503,0114010000314504,False
9,7761RB,0114200000326943,0114010000326944,False
80,9403AD,0106200000007888,0106010000007888,False
10,9301ZJ,1699200000006188,1699010000015431,False
4,7833JA,0114200000299285,0114010000299286,False
16,7825AN,0114200000326069,0114010000326070,False
6,7772TV,0160200000252798,0160010000044565,False
10,9403DT,0106200000025913,0106010000025913,False
6,2991XV,0489200000264432,0489010000264431,False
5,7924PG,1690200000002370,1690010000002370,False
70,2988DB,0597200000237602,0597010000237603,False
20,8028PK,0193200000013528,0193010000013528,False
4,8064PE,1896200000000996,1896010000005384,False
27,3165AA,0613200000152881,0613010000152882,False
30,8064AK,1896200000008909,1896010000009303,False
17,8152BN,0148200000007553,0148010000007553,False
10,8042PH,0193200000093646,0193010000093602,False
27,8325DB,1708200000016884,1708010000011268,False
5,7711EP,0148200000011298,0148010000011298,False
131,3734EE,0355200000780155,0355010000780156,False
17,8152BN,0148200000007553,0148010000007553,False
5,8271RG,0166200000004703,0166010000004703,False
26,8131DP,1773200000004748,1773010000004556,False
36,8181JJ,0246200000007327,0246010000007327,False
26,8271RH,0166200000022557,0166010000022557,False
9,8051HH,0244200000003362,0244010000003362,False
20,8028PK,0193200000013528,0193010000013528,False
8,7739PL,0175200000378387,0175010000058931,False
24,7739PH,0175200000005628,0175010000008139,False
32,7701SE,0160200000265432,0160010000044704,False
2,7696BG,0160200000262001,0160010000040235,False
7,8013RK,0193200000091882,0193010000091833,False
14,7711GW,0148200000009111,0148010000009111,False
3,7955AA,0180200000003011,0180010000003756,False
66,7772KB,0160200000248429,0160010000029921,False
15,7921RV,1690200000010518,1690010000010518,False
1,8131WV,1773200000007081,1773010000006295,False
3,8102HX,0177200000227601,0177010000227602,False
15,8013RL,0193200000029499,0193010000029499,False
132,7324BD,0200200000095410,0200010003918023,False
111,7772NB,0160200000246480,0160010000029518,False
17,8152BN,0148200000007553,0148010000007553,False
38,8013PD,0193200000013427,0193010000013427,False
13,7241DB,0262200000012390,0262010000012390,False
6,7602PE,0141200000042445,0141010000026280,False
21,7575ER,0173200000177677,0173010000177676,False
18,7461JC,1742200000033459,1742010000008623,False
2,7547RW,0153200000398166,0153010000398167,False
105,7587NG,0168200000232453,0168010000232454,False
2,7547RW,0153200000398166,0153010000398167,False
29,7602PD,0141200000042417,0141010000026304,False
18,7575ED,0173200000147038,0173010000147039,False
3,7602PD,0141200000042418,0141010000026277,False
23,7575DB,0173200000157912,0173010000157913,False
29,7461TP,1742200000028761,1742010000006306,False
10,7543GT,0153200000318380,0153010000318381,False
8,7602PW,0141200000042567,0141010000025876,False
8,7532ST,0153200000350564,0153010000350565,False
219,1118BH,0394200001001738,0394010001001778,False
19,7547RT,0153200000346050,0153010000346051,False
19,7547RT,0153200000346050,0153010000346051,False
18,7575ED,0173200000147038,0173010000147039,False
16,7587GA,0168200000229160,0168010000229161,False
21,7575BC,0173200000161396,0173010000161397,False
29,1062HJ,0363200012125319,0363010012123492,False
2,7575BP,0173200000172834,0173010000172835,False
30,7575DA,0173200000177832,0173010000177831,False
16,7547TB,0153200000428468,0153010000428469,False
13,7608RH,0141200000065043,0141010000029535,False
23,7575DB,0173200000157912,0173010000157913,False
332,7532SN,0153200000426478,0153010000426479,False
3,7591HH,1774200000280394,1774010000280395,False
1,7472DD,1735200000013226,1735010000007403,False
41,7511ZA,0153200000423906,0153010000423907,False
16,7587GA,0168200000229160,0168010000229161,False
22,7665ST,0183200000201221,0183010000201220,False
15,3851SL,0233200000017940,0233010000017940,False
6,1521RC,0479200000020814,0479010000015692,False
209,8096BJ,0269200000008628,0269010000008628,False
