vblObject,gebruiksdoel,oppervlakte,vbloStatus
34010000026499,industriefunctie,12273,in gebruik
34010000028462,woonfunctie,86,in gebruik
34010000028462,woonfunctie,78,in gebruik
34010000030048,woonfunctie,123,in gebruik
34010000030048,woonfunctie,108,in gebruik
34010000030048,woonfunctie,141,in gebruik
34010000035614,woonfunctie,129,in gebruik
34010000035614,woonfunctie,129,in gebruik (niet ingemeten)
34010000035614,woonfunctie,129,in gebruik
34010000035614,woonfunctie,137,in gebruik
34010000035614,woonfunctie,145,in gebruik
34010000047434,woonfunctie,130,in gebruik
34010000047434,woonfunctie,128,in gebruik
34010000048482,woonfunctie,124,in gebruik
34010000048482,woonfunctie,127,in gebruik
34010000051312,woonfunctie,126,in gebruik
34010000051312,woonfunctie,135,in gebruik
34010000056678,industriefunctie,5910,in gebruik
34010000056678,industriefunctie,7087,in gebruik
34010000057423,woonfunctie,84,in gebruik
34010000057423,woonfunctie,87,in gebruik
34010000057423,woonfunctie,79,in gebruik
34010000058493,industriefunctie,273,in gebruik
34010000058493,industriefunctie,217,in gebruik
34010000058758,woonfunctie,103,in gebruik
34010000058758,woonfunctie,116,in gebruik
34010000060952,industriefunctie,1988,in gebruik
34010000060952,industriefunctie,1885,in gebruik
34010000061437,woonfunctie,96,in gebruik
34010000061437,woonfunctie,111,in gebruik
34010000061437,woonfunctie,100,in gebruik
34010000061747,overige gebruiksfunctie,96,in gebruik
34010000061747,overige gebruiksfunctie,270,in gebruik
34010000066308,woonfunctie,104,in gebruik
34010000066308,woonfunctie,109,in gebruik
34010000066487,woonfunctie,69,in gebruik
34010000066487,woonfunctie,42,in gebruik
34010000067773,winkelfunctie,64,in gebruik
34010000067773,winkelfunctie,78,in gebruik
34010000071036,woonfunctie,115,in gebruik
34010000071036,woonfunctie,121,in gebruik
34010000071036,woonfunctie,120,in gebruik
34010000074346,industriefunctie,364,in gebruik
34010000074346,industriefunctie,314,in gebruik
34010000074363,industriefunctie,632,in gebruik
34010000074363,industriefunctie,642,in gebruik
34010000075629,woonfunctie,106,in gebruik
34010000075629,woonfunctie,144,in gebruik
34010000076790,woonfunctie,98,in gebruik
34010000076790,woonfunctie,101,in gebruik
34010000080921,woonfunctie,272,in gebruik
34010000080921,woonfunctie,264,in gebruik
34010000080921,woonfunctie,226,in gebruik
34010000080993,woonfunctie,88,in gebruik
34010000080993,woonfunctie,95,in gebruik
34010000082508,kantoorfunctie,18909,gevormd
34010000082508,kantoorfunctie,18909,in gebruik
34010000087285,winkelfunctie,863,gevormd
34010000087285,winkelfunctie,863,in gebruik (niet ingemeten)
34010000087285,winkelfunctie,863,in gebruik
34010000089848,woonfunctie,65,gevormd
34010000089848,woonfunctie,65,in gebruik
37010000360326,industriefunctie,999999,in gebruik
37010000360326,industriefunctie,358,in gebruik
37010000364131,woonfunctie,115,in gebruik
40010000001972,winkelfunctie,1548,in gebruik
40010000001972,winkelfunctie,314,in gebruik
40010000001972,winkelfunctie,372,in gebruik
40010000002367,industriefunctie,603,in gebruik
40010000002367,industriefunctie,638,in gebruik
40010000005978,winkelfunctie,286,in gebruik
40010000005978,winkelfunctie,276,in gebruik
40010000020615,industriefunctie,6365,in gebruik
40010000020615,industriefunctie,4963,in gebruik
40010000020615,industriefunctie,4963,in gebruik
40010000026820,overige gebruiksfunctie,8,in gebruik
40010000026820,overige gebruiksfunctie,5,in gebruik
47010000280702,industriefunctie,999999,in gebruik
47010000280702,industriefunctie,893,in gebruik
47010000291610,industriefunctie,999999,in gebruik
47010000291610,industriefunctie,240,in gebruik
47010000301514,woonfunctie,430,in gebruik
47010000306650,woonfunctie,163,in gebruik
47010000306836,industriefunctie,999999,in gebruik
47010000306836,industriefunctie,327,in gebruik
47010000306836,industriefunctie,289,in gebruik
47010000307810,industriefunctie,5173,in gebruik
47010000307810,winkelfunctie,1470,in gebruik
47010000308671,kantoorfunctie,1127,in gebruik
47010000309169,woonfunctie,126,in gebruik
48010000000055,kantoorfunctie,640,gevormd
48010000000055,kantoorfunctie,640,in gebruik
48010000000055,kantoorfunctie,640,in gebruik
48010000000156,woonfunctie,983,gevormd
48010000000156,woonfunctie,983,in gebruik
48010000001118,woonfunctie,52,gevormd
48010000001118,woonfunctie,52,in gebruik
48010000001442,woonfunctie,52,gevormd
48010000001442,woonfunctie,52,in gebruik
48010000001442,logiesfunctie,52,in gebruik
48010000002226,woonfunctie,225,gevormd
48010000002226,woonfunctie,225,in gebruik
50010000357406,industriefunctie,1178,in gebruik
50010000357406,industriefunctie,1187,in gebruik
50010000359880,woonfunctie,154,in gebruik
50010000359880,woonfunctie,164,in gebruik
50010000359880,woonfunctie,133,in gebruik
50010000363250,kantoorfunctie,38,in gebruik
50010000363250,kantoorfunctie,3574,in gebruik
50010000364846,industriefunctie,154,in gebruik
50010000364846,woonfunctie,154,in gebruik
50010000364846,woonfunctie,167,in gebruik
50010000366368,industriefunctie,219,in gebruik
50010000366368,industriefunctie,243,in gebruik
