Gemeente,CBS,Politie-eenheden
Leidschendam-Voorburg,1916,Den Haag
Lelystad,0995,Midden-Nederland
Leudal,1640,Limburg
Leusden,0327,Midden-Nederland
Lingewaard,1705,Oost-Nederland
Lisse,0553,Den Haag
Lochem,0262,Oost-Nederland
Loon op Zand,0809,Zeeland - West-Brabant
Lopik,0331,Midden-Nederland
Loppersum,0024,Noord-Nederland
Losser,0168,Oost-Nederland
Maasdriel,0263,Oost-Nederland
Maasgouw,1641,Limburg
Maassluis,0556,Rotterdam
Maastricht,0935,Limburg
Medemblik,0420,Noord-Holland
Meerssen,0938,Limburg
Meierijstad,1948,Oost-Brabant
Meppel,0119,Noord-Nederland
Middelburg,0687,Zeeland - West-Brabant
Midden-Delfland,1842,Den Haag
Midden-Drenthe,1731,Noord-Nederland
Midden-Groningen,1952,Noord-Nederland
Mill en Sint Hubert,0815,Oost-Brabant
Moerdijk,1709,Zeeland - West-Brabant
Molenlanden,1978,Rotterdam
Montferland,1955,Oost-Nederland
Montfoort,0335,Midden-Nederland
Mook en Middelaar,0944,Limburg
Neder-Betuwe,1740,Oost-Nederland
Nederweert,0946,Limburg
Nieuwegein,0356,Midden-Nederland
Nieuwkoop,0569,Den Haag
Nijkerk,0267,Oost-Nederland
Nijmegen,0268,Oost-Nederland
Nissewaard,1930,Rotterdam
Noord-Beveland,1695,Zeeland - West-Brabant
Noordenveld,1699,Noord-Nederland
Noordoostpolder,0171,Midden-Nederland
Noordwijk,0575,Den Haag
Nordeast-Fryslân,1970,Noord-Nederland
"Nuenen, Gerwen en Nederwetten",0820,Oost-Brabant
Nunspeet,0302,Oost-Nederland
Oegstgeest,0579,Den Haag
Oirschot,0823,Oost-Brabant
Oisterwijk,0824,Zeeland - West-Brabant
Oldambt,1895,Noord-Nederland
Oldebroek,0269,Oost-Nederland
Oldenzaal,0173,Oost-Nederland
Olst-Wijhe,1773,Oost-Nederland
Ommen,0175,Oost-Nederland
Oost Gelre,1586,Oost-Nederland
Oosterhout,0826,Zeeland - West-Brabant
Ooststellingwerf,0085,Noord-Nederland
Oostzaan,0431,Noord-Holland
Opmeer,0432,Noord-Holland
Opsterland,0086,Noord-Nederland
Oss,0828,Oost-Brabant
Oude IJsselstreek,1509,Oost-Nederland
Ouder-Amstel,0437,Amsterdam
Oudewater,0589,Midden-Nederland
