,HUISNR,PC
1479,42,3011XS
1480,20,3176PD
1481,12,2491BG
1482,10,3016CK
1483,3,2984BB
1484,111,2132LS
1485,268,3197KV
1486,190,3011KD
1487,46,3194AC
1488,45,3013AK
1489,130,3062MB
1490,4,3087BL
1491,5,3161WE
1492,57,3088GB
1493,200,3316KE
1494,26,3241LS
1495,1,3247CP
1496,3,3011WG
1497,505,3013AL
1498,1,3161GM
1499,5,3214VR
1500,85,3081AB
1501,118,3037GL
1502,2,2651LV
1503,67,1438BD
1504,30,3062ME
1505,30,3196KD
1506,8,1013BL
1507,30,3196KD
1508,6,4782SK
1509,8,2984BG
1510,742,2909VA
1511,742,2909VA
1512,65,2908LV
1513,100,3062MB
1514,2,3198LG
1515,11,3088HG
1516,8,3115JE
1517,20,2984AT
1518,136,2983GM
1519,211,3081JN
1520,910,3199LC
1521,40,3011XB
1522,65,2908LV
1523,53,2992LC
1524,21,3089JH
1525,144,4818CP
1526,20,3176PD
1527,350,3331MC
1528,9,3237MG
1529,45,2803PE
1530,13,3361HJ
1531,26,3087BP
1532,13,4389PC
1533,134,3055KL
1534,7,3161GR
1535,30,3196KD
1536,5,3016CK
1537,115,2909LE
1538,806,9728BM
1539,50,3197KG
1540,742,2909VA
1541,40,3079DN
1542,15,3161GN
1543,2,4791RN
1544,1,3161GH
1545,742,2909VA
1546,95,3012KG
1547,87,3198LB
1548,30,3089KK
1549,1,3208LA
1550,2,3161WD
1551,45,3012CA
1552,31,3077AP
1553,11,2803XR
1554,9,3029BP
1555,30,3089KK
1556,15,3161GN
1557,51,3161EB
1558,5,3161WE
1559,67,1505HJ
1560,1,2909LK
1561,6,4782SK
1562,111,3087AE
1563,3,2661TN
1564,742,2909VA
1565,505,3013AL
1566,30,3089KK
1567,2,3016BB
1568,35,4472BA
1569,20,3176PD
1570,4,2803XP
1571,7,3087CC
1572,228,3065WB
1573,40,3011XB
1574,24,6222NE
1575,1,2909LK
1576,42,3088HD
1577,5,4631SM
1578,4,3083HH
1579,2,2904SC
1580,21,4389PC
1581,5,2993LD
1582,171,3012BB
1583,190,3011KD
1584,43,2984AN
1585,211,3081JN
1586,35,3366BM
1587,1,1118LK
1588,378,2983GS
1589,1,1135GB
1590,2,1119NV
1591,10,4782PM
1592,22,3011TA
1593,170,3197KV
1594,270,3011XZ
1595,2,3261KN
1596,30,3016BC
1597,38,2991WD
1598,20,3062MB
1599,11,1118EE
1600,59,3088GB
1601,59,3088GB
1602,52,2987VE
1603,2,3165AL
1604,8,3199LW
1605,94,3199KZ
1606,10,3199KR
1607,17,9936BP
1608,8,2994LD
1609,37,3011AA
1610,119,3071NK
1611,1,2909LK
1612,1,4782SE
1613,26,2991LH
1614,6,3016BD
1615,7,3161GR
1616,126,3342LG
1617,97,3022CB
1618,6,3059SR
1619,85,3087BM
1620,35,5928PH
1621,1,3165AM
1622,27,2719KL
1623,1,4455TT
1624,42,3011XS
1625,742,2909VA
1626,31,3077AP
1627,101,2771DS
1628,86,3197LH
1629,1,2908LH
1630,41,3194AA
1631,35,4782PM
1632,148,3331MA
1633,95,3012KG
1634,211,3081JN
1635,268,3201LW
1636,2,3016BB
1637,127,3087AE
1638,2,6541BW
1639,9,3125BS
1640,7,5986PM
1641,3,5986PM
1642,15,5628WB
1643,32,5651GG
1644,5,5684PB
1645,20,4622RD
1646,8,8263CG
1647,8,8013RC
1648,20,6121RE
1649,1,4751XK
1650,2,3433KN
1651,3140,6604LV
1652,3142,6604LV
1653,3,3088HE
1654,34,2991LR
1655,16,3223PA
1656,12,3088HH
1657,5,3161WE
1658,5,2992KB
1659,61,3088GB
1660,30,2404BR
1661,56,3014ZS
1662,107,2511DP
1663,28,2984CD
1664,22,1119NS
1665,372,2983GR
1666,46,3316BP
1667,17,3055WV
1668,2,3341GX
1669,47,3087BW
1670,2,3165AL
1671,18,3261PX
1672,20,3356LK
1673,32,3331ML
1674,12,3088HH
1675,215,1119PD
1676,16,9217RN
1677,700,3083AS
1678,77,3087BM
1679,27,5651GG
1680,2,3905NN
1681,38,5804CD
1682,5,3161WE
1683,2,3161WD
1684,19,3089JH
1685,11,3165AA
1686,44,5048AN
1687,3,3195ND
1688,30,3209BK
1689,25,3223TL
1690,31,3121XJ
1691,6,3087AN
1692,48,3708ZS
1693,23,3114HC
1694,13,3161HK
1695,10,1044AB
1696,20,4453VJ
1697,12,3044CA
1698,11,3012VG
1699,12,3088HH
1700,30,3016BC
1701,8,9979XJ
1702,21,3089JH
1703,102,2661CV
1704,186,3021DM
1705,10,3221CB
1706,52,5928PR
1707,31,4765BH
1708,155,3087AG
1709,365,1437CG
1710,85,3081AB
1711,14,3233AM
1712,700,3083AS
1713,3,3208LA
1714,10,5928NL
1715,85,3088GE
1716,1,4782SL
1717,499,4389PA
1718,16,5916RP
1719,24,6199AC
1720,4,6921RZ
1721,28,7587GA
1722,17,9645LZ
1723,15,3016DE
1724,15,3161GN
1725,17,3201EJ
1726,8,3011KA
1727,53,3171EB
1728,147,3036HJ
1729,16,2984BA
1730,106,3087AJ
1731,2,3161WD
1732,200,3073GR
1733,560,3084CB
1734,560,3084CB
1735,560,3084CB
1736,14,3011KA
1737,1,2908LH
1738,2,3194DE
1739,7,3051BP
1740,34,3074JB
1741,10,3016CK
1742,5,3161GR
1743,35,3121XB
1744,20,2661CP
1745,253,2901LB
1746,21,3089JH
1747,7,3016CL
1748,15,3197LG
1749,62,3125AE
1750,10,5928NL
1751,78,3088HD
1752,48,3088HJ
1753,10,3194DJ
1754,236,3067GJ
1755,54,2992XC
1756,22,1013BL
1757,62,3125AE
1758,8,3232HE
1759,74,2992SR
1760,33,3194AR
1761,41,2992LB
1762,700,3083AS
1763,12,5171GB
1764,48,3088HJ
1765,20,3176PD
1766,83,3072AP
1767,66,3361HS
1768,42,3201AB
1769,170,3197KV
1770,231,2902XE
1771,17,7483PG
1772,240,3197KV
1773,10,2984BT
1774,40,3011TA
1775,64,2992XC
1776,12,3088HH
1777,50,3144EG
1778,8,3135CD
1779,60,3233SE
1780,24,2984AN
1781,18,3125AN
1782,57,2992SB
1783,30,4782PM
1784,1,4761VD
1785,4,3331EE
1786,5,3197KL
1787,3,3208LA
1788,21,3089JH
1789,4,3198LH
1790,1,3199LL
1791,24,3133LA
1792,3,3133KT
1793,33,3047BL
1794,19,3134KG
1795,7,3208LA
1796,33,3131KZ
1797,4,3197KJ
1798,12,5657EN
1799,50,1118LB
1800,2,3045AK
1801,9,4731TV
1802,61,3088ED
1803,28,3208KH
1804,37,3181HK
1805,5,2992KB
1806,10,4617NX
1807,35,3231AR
1808,14,3232BP
1809,2,3201AX
1810,3,3198LR
1811,84,3197LH
1812,20,3197LE
1813,24,3133LA
1814,2,3261KN
1815,12,3088HH
1816,219,1118BH
1817,95,3012KG
1818,75,3196KH
1819,98,3044BB
1820,53,3088ED
1821,1,2921LA
1822,27,2676LM
1823,25,2676LM
1824,4,3087BL
1825,57,3088GB
1826,48,3088HJ
1827,218,3012KP
1828,216,3012KP
1829,40,2991XV
1830,3,3142GD
1831,43,3089JD
1832,177,3027BJ
1833,33,2988BA
1834,20,3281NG
1835,6,4794SN
1836,2,3281LS
1837,5,4041AC
1838,74,2992SR
1839,20,3176PD
1840,50,3161KG
1841,61,3077AG
1842,29,3161GJ
1843,19,3089JH
1844,52,2987VE
1845,10,3021BN
1846,33,2903LR
1847,34,2952AS
1848,19,3089JH
1849,10,4455TE
1850,6,3233CH
1851,1,3208KP
1852,75,2925VB
1853,45,3012CA
1854,110,2913LV
1855,60,3079DN
1856,115,2909LE
1857,30,3137DL
1858,26,3035GD
1859,19,3089JH
1860,2,2988CM
1861,77,3087BM
1862,24,3133LA
1863,190,3011KD
1864,190,3011KD
1865,190,3011KD
1866,173,3194DC
1867,17,3088HG
1868,186,3021DM
1869,161,3071NR
1870,52,2987VE
1871,301,3222KE
1872,14,3088EB
1873,365,1437CG
1874,14,3088EB
1875,2,3133KW
1876,2,2132WS
1877,74,3041JA
1878,13,3161HK
1879,12,3088HH
1880,30,3355ES
1881,142,3331MA
1882,21,3089JH
1883,9,3134LV
1884,17,2984BT
1885,11,3165AA
1886,25,3133KJ
1887,118,3198LS
1888,5,3047BR
1889,21,2681NN
1890,13,3065PE
1891,63,3088GB
1892,62,3161VG
1893,14,2993PX
1894,2,3208KH
1895,30,3089KK
1896,62,3621BR
1897,1,2987AG
1898,28,2984CD
1899,50,3197KG
1900,13,3161HK
1901,24,3088HE
1902,35,3053JR
1903,106,3311NZ
1904,14,3088EB
1905,5,3161WE
1906,40,2761JP
1907,13,3161HK
1908,3,2984BB
1909,7,3016CL
1910,20,3176PD
1911,20,3176PD
1912,29,3165AA
1913,7,3161GR
1914,10,3016CK
1915,77,3087BM
1916,107,2925EK
1917,116,3012NC
1918,1,3161GM
1919,20,3311JD
1920,2,3165AL
1921,13,3171NC
1922,2,3016BB
1923,2,3016BB
1924,2,3016BB
1925,21,3089JH
1926,20,3281NG
1927,6,4794SN
1928,21,3089JH
1929,21,3089JH
1930,5,3196KC
1931,37,1118LA
1932,3,1786PB
1933,42,3133EN
1934,2,3165AL
1935,2,3194AP
1936,45,3013AK
1937,4,3045PV
1938,9,2992SP
1939,16,2994LD
1940,46,4824AC
1941,204,3197KV
1942,48,3088HJ
1943,41,3194AA
1944,205,3027HV
1945,81,3197LG
1946,16,3088HC
1947,2,3161WD
1948,109,3081BJ
1949,8,4782SC
1950,83,3072AP
1951,116,3063GD
1952,180,3012KN
1953,2,4791RN
1954,10,3016CK
1955,32,3832RC
1956,27,3252LA
1957,16,3161ED
1958,202,1118LN
1959,7,3016DE
1960,3,3208LA
1961,291,3328SV
1962,117,3087BK
1963,226,3331ML
1964,39,1602ML
1965,20,3176PD
1966,2,2676LL
1967,2,3281NB
1968,5,3016CK
1969,51,2907AX
1970,4,4791RN
1971,8,4906CW
1972,17,4906CX
1973,37,3194DH
1974,3,3208LA
1975,81,3197LG
1976,3402,3205EK
1977,2,4791RN
1978,2,3281LS
1979,42,3016BC
1980,80,2652XL
1981,23,2676LM
1982,23,2676LM
1983,51,3161EB
1984,123,2151GP
1985,12,3088HH
1986,25,3133ES
1987,27,3088EC
1988,1017,6546BB
1989,53,4033KD
1990,22,3133KS
1991,38,3013AP
1992,2,3201AX
1993,84,3084CB
1994,80,2181BT
1995,42,3016BC
1996,5,3161GR
1997,6,3197LD
1998,6,3197LD
1999,6,3197LD
2000,19,2242HK
2001,27,3223HB
2002,301,3222KE
2003,63,3088GB
2004,97,3244AM
2005,24,3079DB
2006,85,1119PA
2007,77,3087BM
2008,12,3089KC
2009,20,3176PD
2010,4,3011VZ
2011,47,2906SC
2012,27,1175RK
2013,130,3012NC
2014,2,3016BB
2015,213,3062CE
2016,526,1023BX
2017,742,2909VA
2018,17,2984BE
2019,14,3011KA
2020,24,2901JV
2021,19,3336LH
2022,5,2992LA
2023,33,3131KZ
2024,14,3208KB
2025,24,3055LE
2026,59,3204BP
2027,2,2994LD
2028,19,3089JH
2029,45,3013AK
2030,7,3051BP
2031,2,3016BB
2032,32,4818CL
2033,18,2992LA
2034,59,2611RV
2035,1,3161GM
2036,15,3223WE
2037,107,3088GC
2038,6,9563TV
2039,190,2988DC
2040,700,3083AS
2041,70,3084CC
2042,20,2132WT
2043,23,3352XE
2044,14,3054CH
2045,15,3161GN
2046,28,3077ZE
2047,24,3088HE
2048,16,3089JC
2049,20,3176PD
2050,20,3176PD
2051,100,3062MB
2052,19,6931EZ
2053,4,2984BG
2054,32,4818CL
2055,16,3261LX
2056,21,3089JH
2057,1,4761VD
2058,11,3165AA
2059,2,3165AL
2060,31,3165AA
2061,4,3336LA
2062,1,3161GM
2063,21,2132JA
2064,62,3341LJ
2065,405,1442LB
2066,264,3201WP
2067,11,3165AA
2068,201,1118DW
2069,6,4782SK
2070,21,7742PT
2071,19,6921RE
2072,69,2991XR
2073,57,2761BR
2074,61,7991RT
2075,11,4611TS
2076,49,4782PM
2077,25,3223TL
2078,151,3194DC
2079,21,3089JH
2080,11,3088HG
2081,80,3029AK
2082,875,3199LD
2083,35,3089KM
2084,53,3196KH
2085,7,3196KC
2086,7,3196KC
2087,5,3196KC
2088,3,3208KP
2089,4,3281TW
2090,16,3064LT
2091,41,3194AA
2092,57,3077AS
2093,11,3241MD
2094,1,1951JZ
2095,57,1014BA
2096,129,2905TZ
2097,14,3161ED
2098,59,2821LA
2099,111,3063GD
2100,119,3071NK
2101,2,3161WD
2102,7,3072DE
2103,240,1101EE
2104,111,3087AE
2105,3,3233KK
2106,10,2984AT
2107,20,3068MV
2108,24,3133LA
2109,24,3161ED
2110,3,2871RP
2111,502,1047HB
2112,3,4761RL
2113,3,4761RZ
2114,124,2974VH
2115,90,2909LC
2116,3,3116HB
2117,4,3089JC
2118,21,3089JH
2119,350,3331MC
2120,43,3088GB
2121,699,1017JV
2122,7,3087AB
2123,26,3053JV
2124,39,3088GB
2125,27,3355BH
2126,10,2921LA
2127,55,3088HE
2128,7,3051BP
2129,12,1119NR
2130,51,2723RB
2131,10,3151HS
2132,18,3125BC
2133,20,3011RG
2134,15,3161GN
2135,206,3197KV
2136,11,4921ZA
2137,875,3199LD
2138,875,3199LD
2139,9,3115JD
2140,24,3291CK
2141,41,3088GB
2142,10,5581CZ
2143,66,2991VD
2144,2,3045AK
2145,497,4389PA
2146,63,2992CR
2147,20,3176PD
2148,6,3244LC
2149,61,2991LJ
2150,38,3336LP
2151,56,2651AV
2152,21,3316BB
2153,9,4931NA
2154,25,3223TL
2155,40,2991LD
2156,7,2952AP
2157,151,3194DC
2158,6467,4836LH
2159,1,1118EC
2160,16,3165AL
2161,20,3176PD
2162,6,3161GD
2163,46,2907EA
2164,28,3341GK
2165,78,3135NS
2166,16,3011TA
2167,83,3316AK
2168,3,4202MS
2169,11,2922EN
2170,28,3208KH
2171,64,2741EZ
2172,7,3114HB
2173,7,3051BP
2174,875,3199LD
2175,33,4389PC
2176,4,1044AE
2177,77,3087BM
2178,1,3334KE
2179,162,3045PD
2180,162,3045PD
2181,100,3316AZ
2182,22,2954CA
2183,3,3197LR
2184,1,3331ML
2185,35,3047BL
2186,158,2517KP
2187,12,3233BZ
2188,192,5928RH
2189,2,3115HH
2190,182,3331ML
2191,19,4906CG
2192,46,3047AC
2193,184,3197KV
2194,1,3181HX
2195,262,3021HR
2196,24,6222NE
2197,41,3088GB
2198,4104,5692DC
2199,1,4791PB
2200,115,2909LE
2201,199,3161PG
2202,68,3281NC
2203,7,3161GR
2204,742,2909VA
2205,742,2909VA
2206,34,3054EL
2207,41,3194AA
2208,7,3161GR
2209,6,4202MN
2210,5,3161WE
2211,77,3087BM
2212,45,2982CH
2213,44,3197KJ
2214,742,2909VA
2215,80,3197LH
2216,15,3089JA
2217,33,3131KZ
2218,2,3194DE
2219,17,3117VB
2220,1,1118EC
2221,1,1118EC
2222,56,3237AX
2223,12,3011BL
2224,2,4202ML
2225,43,3089JD
2226,73,2907LH
2227,24,3088HE
2228,9,1118EE
2229,7,3115JC
2230,61,3088GB
2231,71,3311JG
2232,15,2902BR
2233,57,3088GB
2234,23,4782PP
2235,20,3176PD
2236,6,3208KE
2237,96,2991CN
2238,83,3087BM
2239,742,2909VA
2240,20,3176PD
2241,41,3014AK
2242,183,3197KA
2243,14,3011KA
2244,110,3331MA
2245,28,2992ZX
2246,10,3195KN
2247,8,3067BW
2248,17,3114SW
2249,22,5753RC
2250,6,3087AN
2251,71,5342LW
2252,30,3199LB
2253,20,2993LE
2254,9,3115JD
2255,1,3165AA
2256,538,2903HK
2257,14,3233AM
2258,1,3248LK
2259,14,3011KA
2260,24,3161ED
2261,12,3067PR
2262,9,3053JV
2263,25,3335DB
2264,26,2991LH
2265,19,2408CW
2266,12,3113AR
2267,84,3065SN
2268,53,1505HJ
2269,466,3331LK
2270,21,3088EA
2271,5,2907ZA
2272,10,2652LE
2273,17,2951SX
2274,76,3299AH
2275,2,3352XG
2276,280,3012NJ
2277,150,3012KM
2278,48,2651AV
2279,5,4791VC
2280,41,5465PX
2281,31,4765BH
2282,54,2992XC
2283,36,3059TA
2284,11,2952AV
2285,51,2908KB
2286,14,2665RM
2287,2,3016BB
2288,11,2991LG
2289,1,3224HA
2290,3,3208KP
2291,300,1438AN
2292,1,3233LM
2293,45,3013AK
2294,12,4762AE
2295,100,3145SZ
2296,7,1118DT
2297,207,4794AK
2298,27,2982BA
2299,32,3089JA
2300,42,3111PH
2301,5,3196KC
2302,14,3011KA
2303,33,3165AA
2304,123,3083ZH
2305,1,3161GM
2306,20,2993LE
2307,24,3133LA
2308,81,3087BM
2309,44,2761DP
2310,9,3223PP
2311,6,3197LD
2312,20,3232BL
2313,30,3336LE
2314,35,3342GE
2315,6475,4836LH
2316,19,6931EZ
2317,32,3162XH
2318,2,2921LB
2319,99,2652KA
2320,1,2831XM
2321,1,3316AX
2322,73,3162TM
2323,35,3089KM
2324,1,3261PC
2325,44,3011XS
2326,6,3161GL
2327,742,2909VA
2328,742,2909VA
2329,763,3011BT
2330,2,3165AL
2331,2,3194AP
2332,35,2665VK
2333,1,1437EP
2334,12,3088HH
2335,2,1118LK
2336,366,2983GR
2337,5,2132HN
2338,30,3355ES
2339,21,4565ER
2340,59,4797HJ
2341,2,3016BB
2342,153,1438AX
2343,57,2992SB
2344,4,3257AG
2345,29,5236SJ
2346,3,3133EB
2347,22,3218BJ
2348,81,3023JA
2349,97,3012KG
2350,1242,2909VA
2351,22,3044AW
2352,87,3133AV
2353,110,3331MA
2354,15,2991LE
2355,2,4328PN
2356,80,2901RD
2357,15,2902BR
2358,2,3352XG
2359,24,4903RC
2360,4,2802AN
2361,24,2841EB
2362,68,2994LD
2363,45,3013AK
2364,16,3194JX
2365,8,3016BB
2366,52,2987VE
2367,16,3208LD
2368,300,3316LB
2369,16,2984BA
2370,29,2132MT
2371,16,2987VD
2372,75,3079WC
2373,6,2991XV
2374,2,3161WD
2375,20,3271VJ
2376,28,3087BP
2377,25,3133KJ
2378,37,3088GA
2379,40,3044CK
2380,115,2909LE
2381,199,3054AE
2382,13,2771VN
2383,23,3315TX
2384,4,3342GR
2385,53,3196KH
2386,248,3067VC
2387,87,3133AV
2388,31,3115HA
2389,9,2991LG
2390,12,3284AS
2391,66,2991VD
2392,155,2913LV
2393,24,3363KH
2394,61,3088GB
2395,88,2991CN
2396,109,3341LW
2397,2,4791RN
2398,2,3291LT
2399,366,2983GR
2400,13,3274KK
2401,11,2911BL
2402,33,3335LR
2403,23,3335LR
2404,14,3295PG
2405,70,3084CC
2406,70,3084CC
2407,83,3316AK
2408,6,3161ED
2409,16,3371RM
2410,66,3124VC
2411,240,3197KV
2412,1,3044AK
2413,133,3059XA
2414,109,3341LW
2415,3,3732HX
2416,88,1118LB
2417,11,3088HG
2418,12,2994LD
2419,73,3314TE
2420,111,3087AE
2421,268,3311HK
2422,170,3071NS
2423,12,3062RH
2424,50,3316BG
2425,26,3087BL
2426,15,3281HA
2427,12,4871NV
2428,1,4791PB
2429,72,2992SR
2430,2,3016BB
2431,2,3016BB
2432,199,3054AE
2433,348,2951JG
2434,8,3059RP
2435,28,3342GE
2436,19,3371XA
2437,1,2802AC
2438,22,4424NC
2439,16,3162RB
2440,150,3331MA
2441,2,2969CC
2442,102,3233AH
2443,22,3465KE
2444,68,2804NV
2445,12,3088HH
2446,41,3194AA
2447,43,3055PB
2448,27,3252LA
2449,33,3068JN
2450,359,3125BJ
2451,39,3088GB
2452,13,3088GN
2453,33,3342GL
2454,95,3132GM
2455,15,2902BR
2456,84,2678HA
2457,12,3088HH
2458,15,1118LA
2459,15,2908LT
2460,63,3044CJ
2461,12,2952DA
2462,1,3161GM
2463,3,4652GE
2464,7,3195ND
2465,58,3284KT
2466,23,3011SK
2467,10,2964LE
2468,45,3331LD
2469,12,2994LA
2470,20,3342GT
2471,15,3087BG
2472,25,3133KJ
2473,98,2922VG
2474,2,3016BB
2475,2,3016BB
2476,16,2993LD
2477,1,2935WV
2478,18,3171PJ
2479,72,2992SR
2480,26,3297LC
2481,12,3088HH
2482,21,8071JG
2483,37,3248BA
2484,34,3371HJ
2485,45,3088HE
2486,101,3181XK
2487,28,3208KJ
2488,3,4941TA
2489,136,3354VD
2490,11,3361CG
2491,2,2991EM
2492,41,3088GB
2493,39,3088GB
2494,37,3089KA
2495,48,3241DC
2496,136,5928RH
2497,46,3016BC
2498,28,3291CE
2499,134,3194AM
2500,29,3194AR
2501,149,3271KB
2502,35,2904SE
2503,33,3034BB
2504,30,3027AR
2505,116,3063GD
2506,72,3084CC
2507,57,3088GB
2508,24,3088HE
2509,1,3252AH
2510,228,2986VR
2511,466,3331LK
2512,466,3331LK
2513,18,3328DA
2514,119,3341LW
2515,10,3089JK
2516,49,3161LV
2517,61,3031BB
2518,2,4791RN
2519,2,4791RN
2520,2,4791RN
2521,430,2952DE
2522,50,1119PE
2523,211,2952DC
2524,2,3261KN
2525,39,3088GB
2526,21,3342GT
2527,12,3233LK
2528,40,4209DB
2529,11,2351CL
2530,466,3331LK
2531,17,3082ZA
2532,20,5253CA
2533,613,3065SC
2534,37,3011AA
2535,10,3261SX
2536,466,3331LK
2537,29,2675KB
2538,8,3232HE
2539,3,3255NB
2540,48,3207RC
2541,2,3088HH
2542,1,3087AM
2543,12,3113AR
2544,95,2901TA
2545,79,3087BM
2546,12,3194WN
2547,595,2741PT
2548,29,3262AA
2549,10,3221CB
2550,26,1339CA
2551,190,3197KV
2552,17,2901EP
2553,34,2991LR
2554,91,3081NG
2555,1,3161GM
2556,830,3032AL
2557,12,4871NV
2558,12,4871NV
2559,466,3331LK
2560,16,3115HB
2561,24,2984AG
2562,25,3133KJ
2563,41,3194AA
2564,30,3089KK
2565,167,3316GZ
2566,38,2914BN
2567,27,2986BG
2568,138,3353GW
2569,559,2287AJ
2570,3,2583CL
2571,57,3134ZB
2572,127,2514AM
2573,38,2583DK
2574,10,2267BE
2575,90,2525NE
2576,3,2583CL
2577,43,2548JE
2578,20,3134KL
2579,2,2514HP
2580,72,2525EL
2581,52,2153PL
2582,41,3194AA
2583,50,2595AR
2584,6,8331VA
2585,27,2723AK
2586,37,2242VR
2587,9,2492LX
2588,47,2562GH
2589,25,2242RD
2590,71,2583JV
2591,5,4709RM
2592,15,2291PA
2593,6,2627BP
2594,86,3481HG
2595,57,2625NV
2596,8,2288GM
2597,14,3077AL
2598,17,3151ZJ
2599,29,2675KB
2600,136,2561XC
2601,40,3071NB
2602,20,2641KC
2603,19,2728GC
2604,80,3029AK
2605,38,8311PP
2606,65,2407BE
2607,22,9206AT
2608,4,2641ST
2609,3,1115BJ
2610,20,3088GN
2611,8,4782SC
2612,12,2678AC
2613,13,2641KP
2614,19,2988AT
2615,8,4782SC
2616,43,2665PC
2617,151,3198LS
2618,11,1115GW
2619,55,2676LM
2620,5,2295NN
2621,20,3197LE
2622,6,2622JZ
2623,224,2665MR
2624,85,3089JD
2625,1,5256PK
2626,22,2719JX
2627,20,3197LE
2628,30,2516BD
2629,242,2685DC
2630,51,3155GL
2631,31,2641KS
2632,131,2712XK
2633,37,2574KC
2634,45,2665KN
2635,22,2719DA
2636,18,2548SH
2637,18,2631WL
2638,60,2718SG
2639,105,2651LG
2640,11,2266NA
2641,20,2641KC
2642,1,2908LH
2643,49,2651KR
2644,101,2909LE
2645,14,2545WE
2646,12,2406XL
2647,14,2522EP
2648,7,2493ZV
2649,23,1019RL
2650,252,2526VL
2651,434,2525WV
2652,12,3113AR
2653,120,2988DC
2654,11,2266NA
2655,11,2266NA
2656,4,2241WJ
2657,83,2497NB
2658,5,3237MB
2659,76,2627AN
2660,9,2722NH
2661,252,2676LV
2662,16,2493WB
2663,11,2665WB
2664,10,2665KN
2665,415,2676LV
2666,9,2671ZN
2667,9,2492WE
2668,4,3045PV
2669,46,2282XV
2670,71,2676LS
2671,176,2665KH
2672,65,2718RD
2673,221,2511BP
2674,132,2583DX
2675,35,2678BA
2676,87,2312XT
2677,44,2671AS
2678,24,2675WX
2679,7,2295RH
2680,12,2211SK
2681,11,2671HW
2682,9,2404CB
2683,7,2691AX
2684,26,3085KA
2685,39,2496XW
2686,2,2665MT
2687,5,2408AP
2688,8,2161LE
2689,948,2136NH
2690,77,3087BM
2691,44,2291RL
2692,305,1118BJ
2693,135,3047AT
2694,5,2722PX
2695,18,2405CK
2696,14,2512PA
2697,8,2691NL
2698,32,2692CM
2699,211,1013AP
2700,160,2593VP
2701,13,2231MJ
2702,394,2676LV
2703,5,2651KN
2704,431,2676LV
2705,313,1431GB
2706,433,2161DB
2707,10,2678PS
2708,3,1118EC
2709,1,2525KC
2710,108,2712XP
2711,393,2571PN
2712,8,2273AD
2713,63,5047SE
2714,3,5925BN
2715,10,2493ZW
2716,30,2678PT
2717,4,2275CH
2718,24,2321GK
2719,2,2716BX
2720,4,2391PE
2721,3,2731BR
2722,52,2171AM
2723,23,2382NS
2724,22,2318BZ
2725,52,2343LB
2726,7,2181AK
2727,5,2421LR
2728,3,2181HG
2729,30,2182BM
2730,35,2222AG
2731,50,2408AN
2732,51,2451BB
2733,4,2181HA
2734,1,6628KB
2735,28,2481AE
2736,4,2311VW
2737,17,2161LE
2738,59,2441LC
2739,39,2201AA
2740,73,1013AP
2741,68,2404HN
2742,15,2451VV
2743,21,2311PK
2744,50,2408AN
2745,39,2201AA
2746,4255,5503LM
2747,35,2381LR
2748,433,2161DB
2749,2,2222AV
2750,31,2251TN
2751,3,3208LA
2752,50,2408AN
2753,10,2171TW
2754,700,3083AS
2755,15,2221WC
2756,32,2403EX
2757,16,2171LW
2758,132,1111RN
2759,10,1187ZZ
2760,39,2201AA
2761,5,2382EJ
2762,137,2404HH
2763,72,2401MZ
2764,68,2352XN
2765,32,2315SR
2766,10,2408AW
2767,5,2391PM
2768,40,2406KT
2769,7,3565CK
2770,13,2742RB
2771,63,2211WH
2772,39,2201AA
2773,2,2461EM
2774,30,2254AG
2775,4,2411NH
2776,225,2396AS
2777,10,2411PR
2778,138,2353DW
2779,2,4814DB
2780,117,2371BT
2781,3,2771AE
2782,3,2408ZC
2783,38,2408AN
2784,6,2315SR
2785,77,3087BM
2786,63,2211WH
2787,10,2731BR
2788,30,2771DA
2789,125,2593BM
2790,30,1118LD
2791,98,2371DH
2792,254,3011XZ
2793,11,2182DV
2794,25,2161AS
2795,9,2405CC
2796,3,2031BJ
2797,31,1118EE
2798,12,2235DK
2799,42,2201GN
2800,121,2861AN
2801,10,2821AT
2802,14,2771CE
2803,73,2941AS
2804,199,2941BK
2805,22,4175LS
2806,2,3297LG
2807,7,4651ST
2808,99,2741PH
2809,595,2741PT
2810,14,2913LP
2811,22,2742LC
2812,1,2802AE
2813,194,2665LE
2814,232,3067GJ
2815,2,2861DZ
2816,6,2914KK
2817,1,1531MG
2818,11,3165AA
2819,115,2913LV
2820,27,2931LC
2821,14,2771CE
2822,2,2861DZ
2823,2,1687JB
2824,57,2761BR
2825,5,2964LE
2826,11,2742RB
2827,37,3088EC
2828,45,2931LC
2829,16,3545NJ
2830,23,3738EV
2831,18,3991BR
2832,5,3401MX
2833,14,3417XS
2834,79,3602AJ
2835,31,4941VX
2836,1,3417XS
2837,64,2741EZ
2838,47,3474HS
2839,4,3903LJ
2840,66,3434KW
2841,1,3417XS
2842,1,3439MX
2843,193,3921AE
2844,18,3621LV
2845,23,4704RG
2846,1,3821BR
2847,2,7554TS
2848,20,5651GG
2849,25,1047HG
2850,42,3903WH
2851,19,3905NA
2852,95,3411EG
2853,53,6661KC
2854,1,3528BA
2855,12,3901HA
2856,195,5654AN
2857,91,3543AC
2858,9,3961TJ
2859,36,1396JM
2860,5,3542AH
2861,5,1069CD
2862,18,3534AM
2863,5,3621LP
2864,36,3411JG
2865,10,8263CB
2866,22,3641SB
