kvknr,reg_date,emp_class
08096714,11-04-2017,03
08097000,26-03-2001,04
08097964,01-05-2001,03
08100518,18-10-2011,02
08101137,20-09-2001,01
08102052,15-07-2002,03
08103887,15-01-2002,06
08103889,15-01-2002,05
08103892,15-01-2002,06
08104761,18-02-2002,05
08109071,22-08-2002,01
08111261,05-08-2008,02
08111537,13-12-2002,01
08115710,14-05-2018,07
08117128,08-07-2003,07
08118254,03-09-2003,01
08118967,02-10-2003,02
08119221,08-06-2007,02
08120948,30-12-2003,02
08122077,29-01-2004,02
08122650,18-02-2004,05
08124150,13-04-2004,03
08126966,17-08-2010,06
08127845,16-09-2004,03
08127865,17-09-2004,05
08129905,03-12-2004,03
08130448,05-09-2017,02
08131864,21-01-2005,02
08132288,04-02-2005,01
08135104,06-05-2005,09
08137732,27-07-2005,01
08138325,22-08-2005,02
08139676,05-10-2005,01
08141547,22-12-2005,02
08141805,28-12-2005,02
08142479,05-01-2006,05
08145140,23-12-2011,05
08146168,18-04-2006,02
08146558,01-05-2006,01
08146858,17-01-2008,01
08147680,02-06-2006,01
08148257,15-06-2006,02
08151017,22-09-2006,02
08152223,30-10-2006,05
08154532,17-04-2018,08
08154901,22-04-2014,02
08156283,12-02-2007,03
08156425,15-02-2007,03
08160839,14-06-2007,02
08163386,03-09-2007,02
08164008,19-04-2019,01
08164182,25-09-2007,02
08164196,,
08164224,26-09-2007,02
08166414,29-11-2007,01
08166582,04-12-2007,03
08167158,20-12-2007,02
08167336,24-12-2007,02
08168863,09-01-2008,02
08168876,12-04-2019,02
08173554,03-04-2008,02
08177145,12-06-2008,01
08177737,25-06-2008,02
08183638,05-11-2008,02
08184814,01-12-2008,03
08185438,17-12-2008,02
08189014,05-02-2009,01
08191365,12-03-2009,01
08191985,23-03-2009,01
08192569,31-03-2009,02
08193429,09-04-2009,02
08193446,09-04-2009,03
08193750,15-04-2009,02
08194966,29-04-2009,02
08203405,07-08-2009,01
08207444,06-10-2009,04
08214972,29-12-2009,03
08219840,22-02-2010,01
08223752,30-03-2010,01
08226364,11-05-2010,04
08824106,10-09-2009,05
09022250,02-02-1954,06
09026526,04-07-1958,06
09034552,18-06-1969,09
09038664,24-01-1974,05
09045595,19-02-1979,08
09046415,19-09-1979,01
09052889,07-05-2002,02
09053868,04-01-1984,03
09058441,17-01-1986,07
09058640,29-01-2014,03
09060314,21-04-2005,04
09062578,17-12-1987,07
09066754,17-07-1989,01
09067518,10-11-1989,04
09069256,28-01-2010,04
09069871,24-09-1990,04
09070355,02-12-1992,03
09073010,15-11-1991,03
09073792,10-02-1992,07
09074092,11-03-1992,03
09074639,12-05-1992,03
09075464,22-03-2001,02
09076452,20-01-2006,03
09077303,15-04-2004,06
09079815,07-10-1993,07
09080344,16-11-1993,10
09080737,10-12-1993,03
09085937,24-02-1995,03
09087807,28-07-1995,04
09087948,10-08-1995,08
09089633,03-01-1996,02
09089735,06-07-2017,01
09091238,14-05-1996,02
09091450,01-02-2017,05
09093174,04-11-1996,02
09093269,14-01-2016,01
09094955,26-03-1997,05
09095772,27-05-1997,02
09096113,13-06-1997,03
09099664,02-04-1998,02
09102589,10-12-1998,03
09103693,26-01-1999,04
09109025,24-11-1999,03
09110814,08-02-2000,02
09112947,17-01-2008,02
09114353,19-07-2000,02
09114833,02-01-2008,07
09115800,,
09117293,07-01-2009,09
09117560,27-12-2000,02
09118128,09-04-2019,09
09124395,09-11-2001,10
09124708,17-01-2008,02
09124759,03-12-2001,02
09128421,23-05-2002,02
09128755,06-06-2002,12
09129456,15-07-2002,06
09130878,07-10-2002,02
09132392,24-12-2002,04
09132797,06-01-2003,03
09133604,04-02-2003,02
09136720,14-07-2003,01
09136762,16-07-2003,03
09139172,08-12-2003,01
09139175,08-12-2003,05
09139459,24-12-2003,04
09139516,24-12-2003,04
09141819,29-03-2004,03
09142625,11-03-2015,04
09142631,07-05-2004,02
09143180,02-06-2004,03
09143455,14-06-2004,02
09144379,26-07-2004,06
09145858,13-10-2004,03
09146402,09-11-2004,03
09147016,15-12-2004,03
09147139,24-12-2004,02
09147230,24-12-2004,02
09147468,27-12-2004,05
09147980,07-01-2005,02
09148951,10-02-2005,02
09148954,10-02-2005,03
09149592,08-03-2005,02
09149781,15-03-2005,06
09149929,28-01-2010,04
09152131,16-06-2005,01
09152225,05-04-2012,03
09152328,24-06-2005,03
09152419,28-06-2005,02
09152724,11-07-2005,03
09152962,25-07-2005,02
09153330,10-08-2005,02
09153921,07-09-2005,02
09154061,08-12-2016,02
09154622,,
09156140,27-12-2005,02
09156947,05-01-2006,03
09161429,08-06-2006,03
09162890,10-08-2006,02
09163315,29-08-2006,02
09163981,25-09-2006,04
09167064,05-01-2007,01
09167512,29-01-2014,01
09167563,19-01-2007,02
09168027,05-02-2007,02
09168890,05-03-2007,02
09169044,08-03-2007,03
09170511,26-04-2007,04
09171096,16-05-2007,02
09171951,08-06-2007,03
09171954,14-07-2011,02
09172064,13-06-2007,02
09172754,09-07-2007,02
09174167,15-10-2009,03
09175109,03-10-2007,04
09176135,13-11-2007,02
09176414,27-11-2007,02
09178170,08-01-2008,02
09178323,11-01-2008,07
09178783,23-01-2008,04
09178814,24-01-2008,03
09179096,30-01-2008,02
09179701,18-02-2008,03
09180010,26-02-2008,06
09180228,03-03-2008,02
09181946,21-04-2008,02
09183346,03-06-2008,05
09184381,09-06-2009,04
09188241,31-10-2008,01
09188644,12-04-2014,02
09189381,04-12-2007,04
09189926,14-01-2019,02
09190086,24-12-2008,02
09190959,07-01-2009,01
09192791,05-02-2009,02
09201948,30-06-2009,02
09204679,18-08-2009,02
09207841,23-10-2009,02
09209575,24-11-2009,04
09212848,07-01-2019,02
09217726,19-02-2010,02
09219608,24-03-2010,02
09221884,18-12-2015,03
10011602,06-04-1954,05
10022902,31-01-1978,04
10022936,12-06-2006,03
10027885,17-08-1984,06
10031354,25-09-1987,02
10035151,13-09-1990,04
10035497,27-12-1990,03
10035865,15-03-1991,01
10038587,28-12-1992,06
10043098,22-12-2007,04
10044023,27-04-1998,03
10044671,04-09-1998,04
10144512,06-12-1995,04
10146994,05-02-1997,02
10148131,17-06-2009,06
10148635,10-11-1997,03
11004535,28-07-2014,03
11005381,27-01-1950,07
11006419,18-03-1954,01
11006433,02-06-2017,02
11009008,25-04-1991,03
11009053,04-10-2018,02
11010210,18-02-1997,02
11011108,11-07-1973,10
11013378,05-06-1978,05
11014489,20-05-1980,03
11021724,31-10-1989,08
11025007,,
11027276,03-02-1994,04
11027590,01-06-1994,01
11041711,22-09-2003,03
11041917,07-08-2017,05
11042691,21-07-1998,05
11044863,31-03-1999,02
11045110,03-05-1999,03
11045862,,
11045908,13-09-1999,01
11047320,07-03-2000,01
11047386,14-03-2000,02
11050481,05-04-2001,02
11052494,21-08-2019,03
11054730,12-10-2009,03
11056135,24-10-2016,02
11056242,27-05-2003,02
11057456,17-06-2019,04
11059838,29-09-2004,03
11063563,30-11-2005,01
11067225,07-12-2006,05
11069438,20-10-2015,01
11070125,12-04-2019,02
11070804,06-10-2014,01
12003379,23-01-1936,01
12012440,06-06-2019,09
12014980,15-01-1973,08
12015260,25-10-1996,01
12015337,14-11-1973,08
12019639,11-06-1981,01
12021204,16-09-1983,03
12021258,07-10-1983,02
12021962,16-01-1992,05
12022596,31-05-1985,06
12022931,23-04-2019,02
12024710,13-01-1988,06
12025812,19-10-1993,02
12025872,24-09-1991,05
12025873,24-08-1993,08
12025960,07-03-2013,01
12027336,16-08-1990,02
12027898,02-08-1991,05
12028358,01-07-1993,04
12029146,23-03-1993,05
12029390,04-06-1992,05
12029993,29-04-1998,04
