kvk_nummer,bedrijfsnaam
14044317,Leenaerts Transport Born B.V.
14007060,W.H. Bertholet en Zonen B.V.
17185010,Waterschoot Transport B.V.
04054723,Henk Smid Transport- en Expeditie B.V.
14031634,Transpo Nuth B.V.
34078682,Van der Stelt B.V.
17114411,Semler B.V.
16072246,Van Lijssel Transport B.V.
05057815,N.V. Rova Gemeenten
21003820,V.o.f. Firma A. Maenhaut en Zoon
04011100,V.o.f. Transportbedrijf E. Kolk en Zn.
28014852,C. de Ruiter en Zonen B.V.
01035925,"A. Wiersma, h.o.n. D.W. de Jong Transport"
39027517,Bosma Reinigingsbedrijf B.V.
02037339,Oosterhof Holman Infra B.V.
37060260,Peterson  Den Helder B.V.
01074495,"W. Veenstra, h.o.n. W. Veenstra Transport"
36031216,Jonk B.V.
02333613,V.o.f. Transportbedrijf Gebroeders Alting
02322592,"D.P. Reit, h.o.n. Grondverzetbedrijf Reit"
08821228,V.o.f. Firma Beltman
34158661,MILIEU SERVICE NEDERLAND B.V.
14070967,"H.G.G. Nelissen, h.o.n. Nelissen Containers"
02073836,Top Trans B.V.
08111403,"E.J. Kuijperij, h.o.n. KHD Transport"
11017003,Handels- en Aannemingsonderneming Mus B.V.
09087723,Kermisexploitatie J.H. Gerrits en Zoon V.o.f.
05052688,Brink Recycling B.V.
17098897,Bandenhandel Tielemans B.V.
34103779,J. en C.J. Baars Hoofddorp B.V.
34064679,Groenrecycling De Breekhoorn B.V.
58975101,Drechttankcleaning B.V.
09057941,"F.C. Straub, h.o.n. F. Straub"
28062006,V.o.f. L.P. Angenent
30038178,Verhart Groen B.V.
02014356,Koopman Cargo B.V.
24313618,J.W. de Keijzer Transporten
70896143,Scheres Containers
27228457,"J.J.M. Kleijweg, h.o.n. Jan Kleyweg Handelsonderneming"
14028642,Transportbedrijf J. Boosten B.V.
06085447,Loon- en Grondverzetbedrijf Oude Lashof B.V.
06083386,Twente Milieu N.V.
08071422,H.T.H. Transport B.V.
27229268,Transportbedrijf Gebr. Van Staalduinen B.V.
27222624,Internationaal Transportbedrijf L. van der Lee en Zonen B.V.
01014583,V.o.f. Firma Van Wieren
01039321,"Van der Wiel Transport B.V., h.o.n. KTF Transport"
01023946,"S. Banga, h.o.n. Banga Transport, Zand- en Grondhandel"
01037513,Transport en Handelsmaatschappij Jatra B.V.
70817537,Firma H.D. de Haan en Zonen
01086040,V.o.f. Gebr. Kloosterman Transport
01092380,"G.D. Posthumus, h.o.n. Posthumus Transport"
09103809,"Afvalcombinatie 'De Vallei' N.V., h.o.n. ACV"
50839519,"Gemeente Rijssen-Holten, Dienst Openbare Werken"
17164465,Jan van den Boomen B.V.
17069510,Peter van Houtum V.o.f.
35027834,"F.E. Houniet, h.o.n. Houniet Transport"
02002092,"De Zevenster, Firma Kuipers V.o.f."
34157497,Groenendaal Transport B.V.
09013696,Roseboom Transport B.V.
17046885,Raymakers Transport B.V.
08033048,Transportbedrijf Rouwmaat Groenlo B.V.
10016305,Willems Winssen B.V.
11054175,Joh. Versteeg B.V.
01078598,"R. Bos, h.o.n. Roelof Bos Transport"
17040090,Jansen Transport & Verhuur B.V.
28050971,"A.H.I.H. Kooter, h.o.n. Alfred Kooter Handel en Transport"
18044620,Van der Pluijm Raamsdonksveer B.V.
12052389,Wil Geelen Transport V.o.f.
34085499,Brantjes Nijssen Containers B.V.
34032530,Nijssen Fourages B.V.
17024878,"Sevenster en Zonen, Loonbedrijf B.V."
17065585,Brekelmans Transport B.V.
05036690,V.o.f. Loon- en Transportbedrijf Firma E.J. Veltink
04050244,Zuidema Handel en Transport B.V.
08017899,B.C.S. Loonbedrijf B.V.
05011005,V.o.f. Firma Vonderman
30089234,Loon- en Transportbedrijf Olsthoorn V.O.F.
31033910,Smink Infra B.V.
01035501,Pronk Transport v.o.f.
71052909,Brouwer Transport
34057770,Adrichem Transport B.V.
09093868,S.T.H.V. (Speciaal Transport Ter Horst Varsseveld) B.V.
30178987,N. Smit Container Service B.V.
02020222,Aannemers- en Transportbedrijven Klip B.V.
14036131,Weltens B.V. Internationale Transporten
14019796,Holten Internationale Transporten B.V.
01056095,Internationaal Transportbedrijf J.J. De Vries B.V.
11049401,"Van Reekum Fruit- en Transport V.o.f., h.o.n. Van Reekum Transport"
02327627,G.M. Martena
01040057,"Ruma Handelsonderneming VOF, h.o.n. Ruiter Makkum Handel & Transport"
16059566,Van Weert Rondhout B.V.
17052998,Kras Gemert B.V.
24340532,Kras Hoek van Holland B.V.
06020322,IJzer- en Metaalhandel Jannie Calot B.V.
17085173,Hule Metaal Recycling V.O.F.
23093463,A.V. Kirchyünger
01029777,V.o.f. Firma IJzer- en Metaalhandel K. Dijksma
30181021,Van Wolfswinkel Reiniging B.V.
06039052,Wagenborg Nedlift B.V.
01093039,V.O.F. Niek van der Veen Internationaal Transport
12030192,Maessen Recycling B.V.
16062862,Magic Wheels B.V.
08221859,Gemeente Hellendoorn
37084390,"N.J.J. Vlaar, h.o.n. Vlaar Container Vervoer"
01036679,Transportbedrijf Noord-Friesland B.V.
23046969,Timmer-Verzijl B.V.
27156142,J.K. Van den Dool B.V.
06050393,Transportbedrijf Hazewinkel en Slebos B.V.
01079530,Noord Nederlandse Reinigingsdienst B.V.
01083360,De Vries Road & Rail Logistics B.V.
17027377,Grond- en Loonbedrijf P. van Herk B.V.
05027572,De-Ge Transport B.V.
05029113,Transportbedrijf J. de Olde B.V.
21015990,Simon de Feyter B.V.
33084989,Kaspers Transport B.V.
17086260,Van der Heijden Rips B.V.
08078014,W.T. Transport B.V.
27199802,J.J. van der Hoeven & Zonen B.V.
36051880,De Graaf Security B.V.
36027565,De Graaf Afvalbeheer B.V.
37089367,De Graaf Metaal B.V.
09114542,Rymoplast Nederland B.V.
08022110,Morssinkhof Plastics Lichtenvoorde B.V.
02044211,Gebr. Hummel Recycling B.V.
23069987,J. van Wijk
04006600,Transport- en Grondverzetbedrijf Bosch-Valthermond B.V.
09092708,"B. Medze, h.o.n. Medze Verhuur"
08012185,Grond- en Mesthandel H. van Looijengoed en Zn. V.o.f.
17278704,Gemeente 's-Hertogenbosch
75272768,De Rooij Transport
04032566,Wigchers Internationaal Transport B.V.
30068179,Inter Rutges B.V.
30115242,"P.J. van der Poel, h.o.n. Int. Transportbedrijf Van der Poel"
01047103,"J.C. de Jong, h.o.n. Intern. Black Transport"
04012881,"J. Kuipers, h.o.n. Kuipers Transport"
04049593,"Th. Drost, h.o.n. THIJNA-EURO-TRANS"
08056717,A. Strijkert V.o.f.
02053439,"S.J. van Balen, h.o.n. Van Balen Transport"
04049840,Transportbedrijf M.P. Drost V.O.F.
39082855,Morssinkhof Plastics Zeewolde B.V.
09041032,Van Houtum Recycling B.V.
11052348,Joh. Peek & Zn. V.o.f.
18073049,G.H.J. Zwart Transport en Beheer B.V.
18058783,H. de Brouwer V.O.F.
08019929,Handels- en Transportbedrijf Mostert & van de Weg B.V.
18126057,"P.H. Mosselveld, h.o.n. P. Mosselveld Transport"
01073004,V.O.F. Piet Roersma Transport
01098382,S&P Transport V.o.f.
30101880,Poeltrans V.o.f.
20089805,Metaalhandel H.L. van Nispen B.V.
05022018,V.o.f. Transportbedrijf Firma gebrs. Groen
50696963,Reinigingsbedrijf Avalex
35031395,"N.P. Tessel, h.o.n. Tessel Wydewormer"
08022318,"J.G.F. Vakkert, h.o.n. Fa. Frans Vakkert en Zoon"
09049849,Hoevers Internationaal Transportbedrijf B.V.
04032209,Hoevers Logistiek B.V.
14625354,V.o.f. Transportbedrijf Peter Herben
36026612,"J. Hoek, h.o.n. Transportbedrijf J. Hoek"
51405822,"A. Wijnand-Bos, h.o.n. Handelsonderneming Arend Wijnand"
04042626,"Cubri Recycling B.V,"
24284855,A. Mol Sloopwerken B.V.
01042907,Internationaal Transportbedrijf Gosliga B.V.
10028297,Internationaal Transportbedrijf Van Ewijk B.V.
14026546,Internationaal Transportbedrijf A.L. Langen B.V.
23033731,"Van Weverwijk Transport, Containers en Afvalverwerking B.V."
16074986,"G.J.M. Blummel, h.o.n. Gert Blummel Transport"
20093196,Transport Van Overveld B.V.
30280353,Gemeente Utrecht
