kvk_nummer,bedrijfsnaam
24299147,B. Rikkers Transport
02038326,Jaap Dam B.V.
23065444,"J.C. van Toor, h.o.n. J.C. van Toor Transportbedrijf"
08061850,Internationaal Transportbedrijf T. van den Broek V.o.f.
39046958,Flevo Transport B.V.
06034112,Volker B.V.
09102475,J. Bouwman Jr. Oosterbeek B.V.
32170415,Regio Gooi en Vechtstreek
23080990,Gebr. Kloens B.V.
10019294,V.o.f. Fa. A.A. van den Oever en Zn.
23035355,Mourik Services B.V.
20038528,Siemons Transport B.V.
31009280,Containerbedrijf Voorsluijs B.V.
24300028,America Chung Nam B.V.
16042931,Brouwer Metaal V.o.f.
17162438,P. Pruijmboom & Zn. V.o.f.
02057495,Holen-Nijboer V.o.f.
02333175,"Damgro Exploitatie B.V., h.o.n. Jaap Dam Groen en Grond Recycling"
18109879,B.V. Aannemingsbedrijf De KlerK
06080456,Reisswolf Hengelo B.V.
20119957,Plastic Company Soest B.V.
04074388,"J. Wolters, h.o.n. Metaal- en Handelsonderneming  J. Wolters"
20091349,V.o.f. Metaalhandel G. van Gool
24323206,Scheepvaartbedrijf Victus V.o.f.
09088839,"Transportbedrijf Van den Nagel B.V., h.o.n. Van den Nagel Recycling"
33182679,B. van Beinum
09082431,Transportbedrijf Albert Riksen B.V.
18028412,Loon- en Transportbedrijf Bruurs V.O.F.
23088853,"V.o.f. A.F. van Weverwijk & Zn., h.o.n. Transport- en Handelsonderneming W. van Weverwijk & Zn."
30020640,Van der Tol B.V.
29016968,V.o.f. Fa. Cometra
30241416,Van Oostrum Westbroek B.V.
05076134,Jansen Wijhe Loonbedrijf en Grondwerken B.V.
13014363,Bloem Transport- en Handelsonderneming B.V.
05058530,"M. Wijnand, h.o.n. IJzer- en Metalenhandel Wijnand"
24211037,"J.A. Kornet, h.o.n. J.A. Kornet Oudmetaalhandel-Bromfietssloperij"
21020201,Aannemingsbedrijf De Bokx B.V.
24180677,Oranje B.V.
17131620,R en L Recycling B.V.
24326252,Goudse Accu Centrale B.V.
17100222,C.O.R. Coppelmans Ontstoppingen en Reinigingen B.V.
28026451,Gebr. Van der Poel B.V.
70424950,V.O.F. Scheepvaartbedrijf Di-Jo
34112621,Amovatiebedrijf Aalsmeer Asbestsanering B.V.
10032820,V.o.f. C.G. van Leeuwen
12049501,Transportbedrijf H. Dietzenbacher B.V.
16021589,Camburg Vastgoed B.V.
09039670,Van Heugten Transport B.V.
24274217,V.o.f. Firma A. Broekhuijsen Scheepvaartbedrijf
34083926,Aannemersbedrijf Bruisschaart B.V.
24256786,Injadiri V.o.f.
27230155,"M. van Daalen, h.o.n. M. van Daalen, Verhuur van Grondverzetmachines"
14068996,"L.J.E.W. Leers, h.o.n. Transportbedrijf Luc Leers"
30058866,Van Schaik Grondverzet B.V.
16032199,Grondverzet- en Transportbedrijf v. d. Bogaard B.V.
28052167,Westdijk Transport B.V.
28031483,Westdijk Exceptioneel Transport B.V.
20034414,Gebr. Coremans Grondwerken B.V.
18111992,V.o.f. Transportbedrijf De Roon
01024029,R. Koopmans Materieel B.V.
11015231,"De Goei Loonwerkbedrijf B.V., h.o.n. Loonwerk- en Transportbedrijf de Goei Geldermalsen"
29033976,A. Oskam Verhuur- en Grondverzetbedrijf B.V.
33232674,Granuband B.V.
34049703,Bakker Buitenleven B.V.
18023160,Transportbedrijf van Dijck Steuverko B.V.
01046179,Transport- en Handelsonderneming Zijlstra B.V.
24140504,"W. van den Heuvel en Zoon Infra B.V., h.o.n. Van Vuuren GWW Transport"
16082780,Gebr. Van Erp Loonbedrijf B.V.
04010856,"A. Heins, h.o.n. Heins Transport Stuifzand"
29044602,"G. Brandhorst, h.o.n. G. Brandhorst Transport"
30023742,Schuilenburg B.V.
06031599,RGS groep B.V.
34056855,B.V. Aannemings- Transport- en Handelsbedrijf v/h P.J. Huybens
14625276,Raimetaal Schroot B.V.
72928506,H. de Kok Metaal- en Schroothandel
34028434,Henk van der Schaft Grond- en Sloopwerken B.V.
08096761,Hein Heun Sloopwerken B.V.
09108795,Gregoor Metaalrecycling
67514871,Autosloperij De Zaag
33181073,Vo.f. Kointra
31050321,Aannemers- en Wegenbouwbedrijf H.S. Hendrikse en Zoon B.V.
17061704,Th. van de Loo B.V
17027480,Veeg- en Rioolbedrijf Adriaans B.V.
24339595,Gebr. St. Nicolaas B.V.
27245706,"G.W.G. Gunther Mohr, h.o.n. Modus Dienstverlening"
24245567,V & S Exploitatie B.V.
23061203,De Groot & Schagen Aannemingsbedrijf B.V.
23045284,V.O.F. 'Corja'
22047548,Booij Duwvaart B.V.
29043617,V.o.f. Cornelis Sr.
14080392,Metaalhandel Wolters-Penders V.o.f.
14070380,"J.C. Verstappen, h.o.n. Verstappen J.C."
14070376,"J.K.A. Franssen, h.o.n. Franssen J.K.A."
14080353,J. Wolters & Zonen V.O.F.
30092814,V.o.f. Van Egmond-van Zetten
02325347,Berger Recycling B.V.
18120396,V.o.f. Scheepvaartonderneming A. Kuup & A.P. Versluis en Zonen
37079867,Schot Infra B.V.
18125678,Johan Vissers M.S. Carin
30099316,"D.L. Tamminga, h.o.n. Firma D. Tamminga"
18123848,Koenen Kaatsheuvel B.V.
12010245,IJzerhandel Groot Boller B.V.
36037282,I. Deegen & Zoon B.V.
24210343,Hoefnagel Metals Recycling B.V.
05048777,Bouwafval Recycling Kampen B.V.
29023068,V.o.f. Firma M. Heuvelman en Zoon
16018037,Van der Putten B.V.
22032328,Comgoed Transport B.V.
06013574,Noordendorp Transport B.V.
20097153,OMR Moerdijk B.V.
20097150,Vetveredeling Moerdijk B.V.
05060491,ROVA Regie B.V.
05057816,N.V. ROVA Afvalverwerking
11017486,"J.C.A. Blom, h.o.n. Jac Blom"
37112674,Loonbedrijf Klein Texas B.V.
24191371,J.C. Lingen
02326351,"B. Klunder, h.o.n. Foxholster Metaalhandel"
12052771,V.o.f. Hohenwalt Recycling
09076611,V.o.f. 'Almajo'
28018119,De Rijk B.V.
24263158,VIBOR B.V.
24234014,Aannemersbedrijf Lindeloof B.V.
24356611,Vego Zwijndrecht B.V.
17092862,Helmondse Schroothandel B.V.
12018397,V.o.f. Henraath
08092814,MRT B.V.
17169837,Renders Transport Holding B.V.
68367902,Odijk-Zwanenburg
23025701,V.O.F. Loonbedrijf C.H. v.d. Weijde
18114629,Loonwerk-Transport-Grondverzet en Sloopbedrijf J. van Loon en Zn. V.o.f.
24352958,Transportbedrijf M. Heijboer
20107252,"A. den Hollander, h.o.n. Transportbedrijf M. den Hollander"
17126834,De Klein Container- en transportbedrijf B.V.
06014947,Olde Kalter Transport B.V.
04007927,Wester Transport B.V.
31011985,Kuipers Gassen Eemnes V.o.f.
17263720,Verhagen metaalrecycling
31009228,"B.V. v/h Fa. H. van Asch, h.o.n. Van Asch infrastructuur"
18132654,V.o.f. Internationaal Transport H. Bronkhorst
24301807,Van der Spek Loon- en Grondwerk B.V.
18025930,Van Raak's Metaalhandel en Slopersbedrijf
01079468,Transportbedrijf Th. L. van der Veen
27235011,"V.o.f. Wubben-Vollebregt, Grond- en Sloopwerken"
31015888,V.o.f. Firma G. Moesbergen
23035310,De Kuiper Noordeloos B.V.
08067179,Hoitink Transport B.V.
21013589,Verbrugge Internationale Wegtransporten B.V.
09049996,P.J. Hoogendoorn Transport B.V.
24302527,C. Heuvelman en Zn. B.V.
04007042,Belga's Internationaal Transport V.o.f.
22037160,Handelsonderneming Dirk van der Jagt B.V.
30020165,Veolia Papier & Plastics Recycling Nederland B.V.
05055553,V.O.F. Wisman
04066198,Transportbedrijf De Hondsrug B.V.
16082118,Grondwerken Van den Broek B.V.
20072701,J. den Otter Transport B.V.
02071530,Gebr. Borg B.V.
70487170,Blom Grondwerken V.O.F.
05018421,J. Vos Wegtransport Zwartsluis B.V.
32015676,Transportbedrijf Cito B.V.
16026723,W.E.G. Barten Den Bosch B.V.
20010473,B.V. Internationaal Vervoer- en Expeditiebedr. v/h Fa. A.F. Rens & Zn
08111301,Aannemersbedrijf Gerwers Tilligte B.V.
06046602,Loonwerk & Transport Postel B.V.
32073784,Dimetra Holland B.V.
24315270,Van Gameren Transport B.V.
13033718,"Grondwerken, Container en Transportbedrijf Theelen B.V."
17072423,B.J.A.M. Roes Holding B.V.
16074496,"P.A.A. Kamps, h.o.n. P. Kamps Transportonderneming"
35025909,Giele Sloopwerken B.V.
06066530,Loon- en grondverzetbedrijf Gebr. Poppink Reutum B.V.
34114666,Gebr. Scholten Containerservice B.V.
17161728,M. Biemans Recycling B.V.
27146962,Meeuwisse Nederland B.V.
09037386,Loonbedrijf Gebroeders Eugelink V.o.f.
24369653,Piet en Hans van Wanrooij V.o.f.
30117523,Franke Edelmetaal B.V.
27150693,"P.E.A. Halsema, h.o.n. Halsema Hoveniersbedrijf"
23083455,"J.W.H. Moock, h.o.n. W.W.P. Metaal"
24269647,A. Goudriaan
14039065,J.K.V. Heerlen B.V.
23039527,V.o.f. Blokland
20062961,'Gebr. Timmermans' B.V.
29009092,V.o.f. W. de Waardt en J.L. de Waardt
14065587,Howa B.V.
38014985,Tauw B.V.
17056677,V.o.f. Antida
34064975,Van Groningen Nieuw-Vennep B.V.
24128177,Jewometaal Stainless Processing B.V.
55290728,Gebr. Swinkels Metaalrecycling B.V.
05027539,Transportonderneming K.R. Wisman en Zoon B.V.
23035822,Transport- en Aannemingsbedrijf van der Waal B.V.
14034045,Transportbedrijf Leers en Zonen B.V.
17105663,Gebr. Van den Eijnden Eindhoven B.V.
17068178,J. Aarts Transportbedrijf Gerwen B.V.
02032934,J. Bronsema
27370956,Gemeente Katwijk
01087609,Benny Nauta Internationaal Transport B.V.
06058277,"M.W.G. Broekhuis, h.o.n. M. Broekhuis"
05026156,Transportbedrijf H. Stoter B.V.
02330995,Dieterman C.V.
05056656,"W. Weever, h.o.n. W. Weever Handelsonderneming en Transport"
01076014,"P. Wiersma, h.o.n. P. Wiersma Transport Harkema"
08014853,V.o.f. Firma Kamphorst
02067673,"R.A. van der Ploeg, h.o.n. Transportservice R.A. van der Ploeg"
14074321,Handelsonderneming Hudales B.V.
12051227,Janssen Grond- en Sloopwerken B.V.
36037085,C. Lodder B.V.
24389159,Beije Transport B.V.
05048946,"W.J. Janssen, h.o.n. W.J. Janssen Motorenhandel"
17091904,Papiergroothandel W. Box Veldhoven B.V.
06051119,Haverkamp Onderhoud B.V.
09124880,Van Baal Bouwtechniek & Retail B.V.
30201514,"C. Struijk, h.o.n. Chris Struijk"
17021358,Papiergroothandel W. Box Eindhoven B.V.
16055620,Papiergroothandel W. Box 's-Hertogenbosch B.V.
12048638,Sent One B.V.
12040377,L. Burhenne
23068963,V.o.f. J.C.G. van der Vlist
20050564,Martens en Van Oord Aannemingsbedrijf B.V.
37040123,Bechthold IJzer- en Metaalhandel B.V.
22014419,Pekaar-Bestratingsmaterialen B.V.
01096342,Ter Wee B.V.
34028521,E. Visbeen Transport B.V.
20108679,OCO Transportbedrijf B.V.
22011458,V.O.F. de Koster Transport
24173392,Handelsonderneming en Transportbedrijf V.O.F.  J.F. Kok
06069771,Jan Meenderink B.V.
08079692,V.O.F. K. van Middendorp
28093520,Van Hameren Transport B.V.
09071107,Loon- en Grondverzetbedrijf Schimmel B.V.
24285895,W.D.S. Transport V.o.f.
24301128,"W. van Noort, h.o.n. W. van Noort Transport"
20025687,Marijnissen Transport Oudenbosch V.O.F.
30107881,Aannemersbedrijf W.E. Oskam B.V.
17095313,Van Stipdonk Landschapsinrichting B.V.
02100628,Van Calker Transport B.V.
51181584,Waterschap Brabantse Delta
51178567,Gemeente Overbetuwe
01140749,Gemeente Aa en Hunze
27381083,"Gemeente Voorschoten, Uitvoerend Bedrijf"
14084717,"H.H. Lutgens, h.o.n. H. Lutgens Metaalrecycling"
11022877,Reductum B.V.
24334900,Bos Transport en Overslag B.V.
23059561,Straalcon B.V.
16045943,Transportbedrijf Gebrs. Van den Brand en Van Oort B.V.
23057425,J.L. Rijsdijk B.V.
27218377,H.N. Post en Zonen B.V.
13029597,"W.C.J. Raetsen, h.o.n. Raetsen Transport"
10147443,Gebr. van den Broek B.V.
17115133,Ritmo Logistics B.V.
34111626,Koole Materieel B.V.
30032520,Vako B.V.
18132010,Transportbedrijf 'Kasteel Meeuwen' B.V.
36052815,Veevoeder- en Kunstmesthandel Schermer
27273252,Dijkshoorn Bleiswijk B.V.
08101197,"A. van Spijkeren, h.o.n. A.V.S. Machineverhuur"
08112370,H.T.H. Distributie B.V.
05017042,V.o.f. Nijhof/Ekkel
23065853,Biemond en Van Pelt B.V.
06041112,Timmerhuis Weg & Waterbouw B.V.
24295004,Simon Weerdenburg Handel & Groenservices B.V.
11031117,Aannemingsbedrijf J. den Boer B.V.
08130589,"A. Tjallinks, h.o.n. Toon Tjallinks Handelsonderneming"
30084119,Aannemingsbedrijf Van Zuijlen B.V.
04051536,V.o.f. Oud Metaalhandel Van der Gaag
11026859,GMB Services B.V.
05029249,Bagger- en Aannemingsmaatschappij Van der Kamp B.V.
24258350,Gremberghen Commodity Trading B.V.
33075472,V.o.f. Firma Drieco
23051912,H.C. Doeser
27047602,V.o.f. Fa. J. Verhoeff en Zn.
08007331,Coöperatie Loonbedrijf Almen-Harfsen U.A.
14081930,Powerpack B.V.
11012378,Van Doorn Geldermalsen B.V.
20035609,A.C. Stolwerk Sloopwerken B.V.
24265961,Gebr. De Vette B.V
22018496,Kraay B.V.
22028378,Zeecom B.V.
23076161,Hapo International Barges B.V.
23063873,Scheepssloperij Nederland B.V.
23076157,Sloopwerken Van Schie B.V.
14629499,Jos van Laar Groen B.V.
27231380,Asbestzorg Holland B.V.
06034285,Sloop- en Handelsbedrijf Doldersum B.V.
11018934,C. Timmer Transportbedrijf B.V.
14028393,Kurvers Benzenrade B.V.
20025446,Aannemersbedrijf Gebr. Mertens B.V.
02332742,W.E.A. Nieland
05056628,A.J. de Groot Transport C.V.
67954979,Fa. A. Sneekes en Zn.
27185035,"J.G.S. van der Hout, h.o.n. van der Hout Westland"
05057822,W. Remmink en Zonen Transport B.V.
24138079,Zwatra B.V.
09058577,Transportbedrijf W.H. Baars V.o.f.
34079336,Kranenburg
34054813,Zuidam Transport B.V.
18020839,Boemaars Transport B.V.
02330130,Heuvelman Ibis B.V.
23038331,Transportbedrijf A. Maat B.V.
28038827,Zuidhoek B.V.
14603626,Transportbedrijf Meessen B.V.
08052277,"B.H. Hendriks, h.o.n. Henk Hendriks Transport"
23034442,V.O.F. Firma P. Oost & Zoon
05058397,De Haan Vroomshoop Internationaal Transport B.V.
01132738,H.H. van der Velde B.V.
35016911,Crok Transport B.V.
01063177,"R.J. van der Kooij, h.o.n. Internationaal Transportbedrijf R.J. van der Kooij"
22012896,V.O.F. Maatschap M. Boot-A.W. Boot
23071824,C. van Driel Transport- en Verhuurbedrijf
04044435,"K. Bok, h.o.n. Klaas Bok Internationaal Transport"
27151286,"L.J.J.M. Rotteveel, h.o.n. Transportbedrijf L.J.J.M. Rotteveel"
29044416,"C.D. Winkel, h.o.n. Danny Winkel"
39046220,V.O.F. Firma Schlepers Cultuurtechniek
04053535,Schreurs Transport en Handelsonderneming
16088927,Romijnders Transport en administratieve dienstverlening V.o.f.
16051133,"J.A.M.G. Westelaken-van Lith, h.o.n. Westelaken Loon- en Grondverzetbedrijf"
11045695,"A.M. Hak, h.o.n. A.M. Hak Int. Transport"
20064829,Aannemingsbedrijf Gebr. J. + P. Oomen B.V.
11053363,Transcowa B.V.
17078781,Baetsen Recycling B.V.
30065493,"A.D. van Voorn, h.o.n. A.D. v. Voorn jr."
16054093,"L.A. Mozes, h.o.n. Louis Mozes IJzer-Metaal en Papierhandel"
30201138,"A. Struijk, h.o.n. Struijk ijzer- en metalen"
30201525,P.P. Pfeifer
17108131,Loon- en Grondwerkbedrijf Mulders B.V.
11058930,Aannemersbedrijf Sterk Heukelum B.V.
24166693,Van Delft Infra B.V.
01051603,Aannemingsmaatschappij Daniel Pijnacker B.V.
09126404,AlBra Groenlo B.V.
23081145,Milieutechniek Gebr. Reehorst Dordrecht B.V.
22026285,Indaver Impex B.V.
23083899,Incident Management Services (IMS) B.V.
17182384,I-Bas B.V.
09035642,"J. van Dooren, h.o.n. Autosloper Van Dooren"
16051774,"Van Deijne, Japanse auto-onderdelen B.V."
28077276,Almad Eco B.V.
08033472,Loon- en Grondverzetbedrijf Sturris B.V.
08051487,H. Soldaat
06084061,Gruba Autobanden B.V.
06062684,"H. Zwarts, h.o.n. H. Zwarts Metaalhandel"
20114990,Kamsteeg Tuinen B.V.
29018948,Sloopbedrijf Cor van Herk B.V.
22047005,V.o.f. Scheepvaartbedrijf Egas
08135463,Riwald B.V.
29006412,V.o.f. Firma J. Bos en Zonen
08086456,Elweco-Medo  B.V.
28098295,Vlasman Betonbewerkings- en Slooptechnieken B.V.
10032434,Gebr. van Venrooij B.V.
28101725,Leeflang Cleaning & Transport B.V.
23083296,"A.D. de Groot, h.o.n. A.T. Metaal"
37161516,Hoogheemraadschap Hollands Noorderkwartier
30104902,V.o.f. Van der Zyden van Duynen
05045561,Loonbedrijf Lindeboom V.o.f.
16041515,Sanders Recycling B.V.
30019129,P. Manschot
29035423,Transportbedrijf H. van Os V.O.F.
20054333,Dams Handel en Transport B.V.
18123404,Van Caem's Transporten B.V.
01045332,Douwe Hoekstra Kraanverhuur B.V.
23065720,V.o.f. De Zanddijk
01049842,V.o.f. Kuipers W.H. en Zn. Handel en Transport / Sloopwerken
35022137,Handelsmaatschappij 'Rebo' B.V.
30072656,Ap Vianen Recycling B.V.
18131040,V.o.f. OSCAR
34040783,De Wilde Infra & Cultuurtechniek B.V.
10023376,Remmits Transport B.V.
27364167,Gemeente Teylingen
30093454,Secundaire Bouwstoffen Unie B.V.
28090768,J.J.M. Heemskerk B.V.
12055764,WastePoint Afvalbeheer B.V.
20032947,Strukton Civiel Zuid B.V.
16049236,Proclean Nederland B.V.
18121042,OVU Recycling B.V.
50852736,Gemeente Veendam
23083042,V.o.f. Handelsonderneming Broer-van Laarhoven
24161385,"J.N. Kleinjan, h.o.n. Transportbedrijf J.N. Kleinjan"
13034255,"G.L.A. van Hooft, h.o.n. Scheepvaartbedrijf Genius"
01013154,Smit Staal B.V.
28021785,Autotransport- en Garagebedrijf W. van der Meyden B.V.
02315963,Aannemersbedrijf Grashuis B.V.
73709662,R. KLeijn Transport
34063516,Den Breejen Logistiek B.V.
34074453,Heinis Logistics B.V.
24038791,P.A. van Oorschot Transport B.V.
27228389,Trageco B.V.
24263209,Van der Ent Verhuizingen B.V.
14631105,Wessem Port Services Wegtransport B.V.
04029960,Otten Hoogeveen B.V.
24229154,W.M. Blok Internationale Transporten B.V.
18103743,Transportbedrijf Gebrs. Van Zelst B.V.
12013670,"A.P. Lemmens, h.o.n. Auto Recycling Venray, t.h.o.n. Lemmens Venray"
39046846,Mulder Transport- en Expeditiebedrijf B.V.
22010929,"H. Marcusse, h.o.n. Loon- en Transportbedrijf Marcusse"
30051790,V.o.f. Firma Groenendijk en Verhoeff
02017282,V.o.f. Firma J. Boonstra
23051798,"A. den Hartog Transport Langerak B.V., h.o.n. Hartog Transport"
05048997,R. Buitenhuis
24243967,"L. van der Graaf, h.o.n. Graaftrans"
04046167,"W. Trip, h.o.n. Transportbedrijf Willem Trip"
33268805,"G.M. Dankbaar, h.o.n. G.D. Trans"
24276664,"Th.J. Kortekaas, h.o.n. Th.J. Kortekaas Transport"
16061449,Wouters Odiliapeel B.V.
17054553,"Grondwerken v.d. Ven V.O.F. (Verhuur en Transport), h.o.n. J. van de Ven Grondwerken & Transportbedrijf"
05012570,Grondverzetbedrijf Visscher B.V.
09024647,"J. Bruil, h.o.n. Bruil Transport- Loon & Grondverzetbedrijf"
01101500,Minkes Transport
02085332,"J.H. Mestemaker, h.o.n. Hendri Mestemaker Transport"
04056193,Emmtec Services B.V.
21015532,V.o.f. Van Maren
30056072,"A.H. de Rooij, h.o.n. Metaalhandel A.H. de Rooy"
01054458,Handelsmaatschappij Platex B.V.
27195705,Michael Sonneveld B.V.
23071658,J. van Dijke V.o.f.
30077117,Scheepvaartonderneming 'Adriana' V.o.f.
23044690,"A. Zegelaar, h.o.n. Metaalhandel A. Zegelaar"
31012294,R. Westra Recycling V.o.f.
10044639,Klaassen Asbestwerken B.V.
12044546,"H.A. Boitelle, h.o.n. Non-ferrohandel Boitelle"
08020118,Van de Heg Metaal- en Machinehandel B.V.
28056915,P. Bloos
11021735,Aannemingsbedrijf Gebr. van Santen B.V.
29007916,Dume B.V.
22050680,Aannemingsbedrijf De Voogd Grijpskerke B.V.
17060215,"A.M. Reniers, h.o.n. Ad Reniers Containers"
32072557,"J.C. Hagens, h.o.n. Fa. Ambulant"
34104611,"AW Grond, Weg & Water B.V."
24124118,Capricorn Stainless B.V.
01173391,Gemeente Noordenveld Afd. Vakgroep Reiniging
08018109,V.o.f. Transportbedrijf Joostema
31026272,Transportbedrijf van de Geest V.O.F.
27214730,Transportbedrijf G.S. van den IJssel B.V.
17019828,Sloop- en Grondwerken M. Heezen B.V.
24085397,C. Kleinjan
17071382,H. Verberne Grondwerken B.V.
08064979,Eijgenhuijsen Precisievervoer B.V.
23077230,Votra B.V.
14090023,W.G. Moermans B.V.
11021170,"C.J. van Wilgen, h.o.n. Fa. C.J. van Wilgen"
34148946,A.G. Bosch
02075393,Gebr. Borg Op- en Overslag B.V.
28065825,"P. den Brave, h.o.n. Loonbedrijf P. den Brave, t.h.o.n. Loon en Slopersbedrijf P. den Brave"
30067284,Loonbedrijf Gijs Kroon V.o.f.
04064770,"R.G. Westra, h.o.n. Westra Int.transport Roden Holland"
34119483,R. Breure Aannemings- en Verhuurbedrijf B.V.
28013069,Transportbedrijf Joh. Guyt B.V.
09054661,V.o.f. Fa. Gebroeders van Veldhuizen
27247359,Henk Dammes B.V.
22032103,Gebr. Hendrikse B.V.
23024748,Transportbedrijf C. van den Boogaard B.V.
27230177,De Bruijn & Nelisse Transport B.V.
08022082,Aannemingsmaatschappij Van Gelder B.V.
24345825,Van Vliet Afvalinzamelaars B.V.
14129999,Gemeente Brunssum
11053204,"D.P. van Dijk, h.o.n. DICKTRA Transport"
30158975,A. de Heer Aannemings- en Loonbedrijf B.V.
04025617,"A. Scheffers, h.o.n. Transportbedrijf Scheffers"
16070715,Van Bakel & Zn. Transporten B.V.
14613944,J.H.H. Opreij
02015638,Gebr. Boerema B.V.
30274460,Leliveld Transport B.V.
36010217,D. van Geemen & Zonen B.V.
11007017,V.o.f. Firma Vos & Zonen
10035283,Straten Transport V.o.f.
39049580,"W. de Wolf, h.o.n. De Wolf Transport"
04037377,Van Goor B.V.
16059687,A.L. van de Wetering Transport B.V.
13030859,Broens Loon - Grondverzetbedrijf V.O.F.
14623351,Transportonderneming J.H.J. Verheijden V.o.f.
01045932,Westra V.o.f.
27267669,Kamps Transport B.V.
24252621,V.o.f. Gebr. Koot
09139831,Vallen Transport B.V.
10041641,B & O Transport V.o.f.
27156308,"R.C. Kortekaas, h.o.n. R.C. Kortekaas Transporten"
05056648,"R. Weever, h.o.n. R. Weever Transport en Verhuur"
16081432,"A.T.G. van der Heijden, h.o.n. Handelsonderneming Van der Heijden"
01073076,H. Haisma Int. Transport
27186744,V.o.f. Aspa - Intertrans
14634687,Rooden Landscape Solutions B.V.
10016010,Van Kempen Loonwerk en grondverzet B.V.
34112902,"P. Jungerius, h.o.n. Handelsonderneming P. Jungerius"
14059318,Van Havere Holding B.V.
28031817,Loonbedrijf van Meurs B.V.
27228951,Sunfield Transport V.o.f.
08218146,Gemeente Hengelo
09217727,Gemeente Duiven
28034245,Aannemers- en verhuurbedrijf T. de Boer B.V.
30072061,G.J. Derksen Infra B.V.
18076329,Dovako B.V.
09060834,P. Foekens
20073817,Fihuma B.V.
29034626,Hazebroek en Tamerus Wegenbouw B.V.
18109174,"M. Visser, h.o.n. Scheepvaartbedrijf M. Visser"
24227514,V.o.f. J. van der Marel
06056736,Abbink Boekelo Holding B.V.
01049319,Water-Land Bevrachtingen B.V.
06067139,J. Gerrits
23028334,Aannemingsbedrijf A.C. de Groot B.V.
23048461,Loon- en Verhuurbedrijf Daan Kool V.o.f.
06041811,Aannemingsmaatschappij Twentse Weg- en Waterbouw B.V.
02036201,V.O.F. van der Klei-Abels
10033066,V.o.f. Mathijs
02048268,"V.o.f. De Jong-Holen, h.o.n. M/s Weslie"
30120757,Scheepvaartonderneming Westropa V.o.f.
24372020,V.o.f. Th.P. van Wanrooij & Padlina
23051218,V.o.f. H.L. van Wanrooij
37054807,"Loonbedrijf Houtenbos V.o.f., h.o.n. Loonbedrijf Sjef Houtenbos"
29014975,Teeuwen Infra V.o.f.
24160359,V.o.f. Scheepvaartbedrijf 'Henri R.'
24162112,"Scheepvaartonderneming Verhoeven-Tekstra V.o.f., h.o.n. MS Joveante"
18120928,"V.o.f. Kievits-Ribbers, h.o.n. M.S. Jurbri"
16077486,Nipa Milieutechniek B.V.
20077428,Moerdijk Bodemsanering B.V.
08720105,"N. van Wijncoop, h.o.n. N. van Wincoop"
33170752,JBK Aannemingsbedrijf B.V.
31009090,V.o.f. Firma H. de Ridder & Zn.
20053370,"M.H.J. de Bruijn, h.o.n. M. de Bruijn Transport"
24125439,"G. de Groot, h.o.n. Wed. De Groot en Zoon Transportonderneming"
16085167,Internationaal Transportbedrijf Nillezen B.V.
30185474,Jan van Dam Transport B.V.
20084954,Loon- en Grondwerkbedrijf P.H. de Regt en Zn. B.V.
16076902,Kuijpers Transport V.O.F.
30053851,Loon- en Grondverzetbedrijf De Gier B.V.
18129307,Kimenai Transportbedrijf V.O.F.
02328828,Transportbedrijf Feringa V.o.f.
37027372,V.o.f. Fa. S. Danenberg & Zn.
39054308,"DVT, de Vries Transport"
18039483,"H.J.M. van den Heuvel, h.o.n. H. van den Heuvel Transport"
29041911,M.J. de Groot
27153889,"J.A. Knijnenburg, h.o.n. John Knijnenburg Transporten"
22038551,"M.J. Stouten, h.o.n. Transportbedrijf Stouten"
13037202,P. Pustjens V.o.f.
22040804,"K.N. Hendrikse, h.o.n. Krijn Hendrikse"
20012093,"L.M.F.M. Kennis, h.o.n. Altenaar Loonbedrijf en Reparatiebedrijf"
37125893,Out B.V.
37032789,Loon- en Aannemingsbedrijf Jo Vermaire en Zoon B.V.
24336660,"M. Mijnders, h.o.n. M. Mijnders Handel en Transport"
22005167,Melse Maljaars B.V.
24271494,Scheepvaartbedrijf Zandico V.o.f.
34095578,Auto- en Scheepssloperij Treffers B.V.
11028756,Verhoeven Milieutechniek B.V.
24143962,Conservator Scheeps- en Industrieel Onderhoud B.V.
17121161,Gebroeders Voets Weg- en Waterbouw B.V.
56980299,Piejo B.V.
31050025,Van Doorn Soest B.V.
13036341,Cuypers Kozijnen B.V.
18008602,Metaalhandel Thijssen B.V.
20068264,"H. de Vos, h.o.n. Handelsonderneming 'H. de Vos'"
29022207,Hogenboom V.o.f.
36035938,V.o.f. Fa. Jos Boots
24106959,"V.O.F. Den Ouden/m.s. ""Nomade"""
27232009,VanderHelm Projecten B.V.
30097692,DDM Demontage B.V.
34069563,Gebr. Griekspoor B.V.
08052335,"B.H.J.M. Morsink, h.o.n. Morsink Grond- en Sloopwerken"
28035468,Van der Werff Infra B.V.
36008084,"G.J.M. Suiker, h.o.n. Suiker's Loonbedrijf"
10035425,Vos Demontage
24076083,Kraaijeveld's Aannemingsbedrijf B.V.
29040535,Arjan van Vliet Hoveniersbedrijf V.o.f.
23032590,Loon- en Aannemersbedrijf D. van den Dool & Zn. V.o.f.
33223543,Wareco Amsterdam B.V.
13030204,V.o.f. Marjo-R
29029020,V.o.f. Oranda
28080913,Gouwe Staal B.V.
30077635,V.O.F. G. de Haan & Zn.
68498977,NIMA Transport
30021155,Verweij's Trucking B.V.
30184013,Kool Transport B.V.
